yearmonth	eeacellcode	kingdomkey	kingdom	familykey	family	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	familycount
2019-04	1kmE5114N2614	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-09	1kmE5115N2612	1	Animalia	9322	Muscicapidae	5231240	Oenanthe oenanthe	1	25.0	86400	7555
2019-09	1kmE5122N2615	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2016-01	1kmE5123N2599	1	Animalia	2877	Accipitridae	2480487	Circus cyaneus	1	1000.0	86400	12342
2016-04	1kmE5124N2598	1	Animalia	5282	Scolopacidae	2481713	Tringa glareola	1	1000.0	86400	5644
2016-04	1kmE5124N2598	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	1000.0	86400	6448
2016-04	1kmE5124N2599	1	Animalia	6172	Colubridae	6161347	Natrix natrix	1	1000.0	86400	344
2022-06	1kmE5127N2616	1	Animalia	5242	Fringillidae	5845582	Chloris chloris	1	1000.0	86400	6448
2019-06	1kmE5127N2616	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2021-07	1kmE5127N2616	1	Animalia	3685	Ardeidae	9797180	Ardea cinerea	1	4.0	86400	7397
2020-02	1kmE5128N2616	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-04	1kmE5128N2616	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	25.0	86400	7712
2019-06	1kmE5128N2616	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	25.0	86400	7712
2019-06	1kmE5128N2616	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-04	1kmE5128N2616	1	Animalia	5264	Passeridae	5231198	Passer montanus	1	25.0	86400	6090
2019-06	1kmE5128N2616	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	25.0	86400	779
2019-06	1kmE5128N2616	1	Animalia	5242	Fringillidae	5845582	Chloris chloris	2	25.0	86400	6448
2022-06	1kmE5128N2616	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	1000.0	86400	5806
