"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"1",9917490,"Avian coronavirus","Avian coronavirus","SPECIES","ACCEPTED",100,"EXACT","Viruses","Avian coronavirus",8,9917490,"Avian coronavirus",""
"2",1311477,"Vespa velutina Lepeletier, 1836","Vespa velutina","SPECIES","ACCEPTED",100,"EXACT","Animalia","Vespa velutina",1,1311477,"Vespa velutina","Animalia"
"3",2560612,"Beauveria bassiana (Bals.-Criv.) Vuill.","Beauveria bassiana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Beauveria bassiana",5,2560612,"Beauveria bassiana","Fungi"
"4",11286021,"Escherichia coli_E","Escherichia coli","SPECIES","ACCEPTED",98,"EXACT","Bacteria","Escherichia coli",3,11286021,"Escherichia coli",""
"5",10308782,"Influenza A virus","Influenza A virus","SPECIES","ACCEPTED",100,"EXACT","Viruses","Influenza A virus",8,10308782,"Influenza A virus","Viruses"
"6",3226046,"Mycoplasma gallisepticum Edward & Kanarek, 1960","Mycoplasma gallisepticum","SPECIES","ACCEPTED",100,"EXACT","Bacteria","Mycoplasma gallisepticum",3,3226046,"Mycoplasma gallisepticum","Bacteria"
"7",11286021,"Escherichia coli_E","Escherichia coli","SPECIES","ACCEPTED",99,"EXACT","Bacteria","Escherichia coli",3,11286021,"Escherichia coli","Bacteria"
"8",10467769,"Infectious bursal disease virus","Infectious bursal disease virus","SPECIES","ACCEPTED",100,"EXACT","Viruses","Infectious bursal disease virus",8,10467769,"Infectious bursal disease virus","Viruses"
"9",3223337,"Campylobacter jejuni (Jones et al., 1931) Veron & Chatelain, 1973","Campylobacter jejuni","SPECIES","ACCEPTED",100,"EXACT","Bacteria","Campylobacter jejuni",3,3223337,"Campylobacter jejuni","Bacteria"
"10",10479424,"Chicken anemia virus","Chicken anemia virus","SPECIES","ACCEPTED",100,"EXACT","Viruses","Chicken anemia virus",8,10479424,"Chicken anemia virus","Viruses"
"11",10404336,"Avian leukosis virus","Avian leukosis virus","SPECIES","ACCEPTED",100,"EXACT","Viruses","Avian leukosis virus",8,10404336,"Avian leukosis virus","Viruses"
"12",3223358,"Campylobacter coli (Doyle, 1948) Veron & Chatelain, 1973","Campylobacter coli","SPECIES","ACCEPTED",100,"EXACT","Bacteria","Campylobacter coli",3,3223358,"Campylobacter coli","Bacteria"
"13",9701185,"Salmonella enterica","Salmonella enterica","SPECIES","ACCEPTED",99,"EXACT","Bacteria","Salmonella enterica",3,9701185,"Salmonella enterica",""
"14",9701185,"Salmonella enterica","Salmonella enterica","SPECIES","ACCEPTED",100,"EXACT","Bacteria","Salmonella enterica",3,9701185,"Salmonella enterica","Bacteria"
"15",8595406,"Eimeria tenella (Railliet & Lucet, 1891) Fantham, 1909","Eimeria tenella","SPECIES","ACCEPTED",99,"EXACT","Chromista","Eimeria tenella",4,8595406,"Eimeria tenella",""
"16",3226529,"Clostridium perfringens (Veillon & Zuber, 1898) Hauduroy et al., 1937","Clostridium perfringens","SPECIES","ACCEPTED",100,"EXACT","Bacteria","Clostridium perfringens",3,3226529,"Clostridium perfringens","Bacteria"
"17",2284266,"Heterakis vesicularis (Frolich, 1791)","Heterakis vesicularis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Heterakis vesicularis",1,2284266,"Heterakis vesicularis","Animalia"
