"source","interaction","target"
"Vespa velutina","eats","Apis mellifera"
"Vespa velutina","eats","Vespula germanica"
"Vespa velutina","interactsWith","Hedera helix"
"Vespa velutina","interactsWith","Apis mellifera"
"Vespa velutina","visitsFlowersOf","Hedera helix"
"Vespa velutina","eats","Eristalis pertinax"
"Vespa velutina","eats","Eristalis tenax"
"Vespa velutina","eats","Episyrphus balteatus"
"Vespa velutina","interactsWith","Fagus sylvatica"
"Vespa velutina","eats","Alydus calcaratus"
"Vespa velutina","eats","Scathophaga stercoraria"
"Vespa velutina","eats","Mallota florea"
"Vespa velutina","preysOn","Paragus haemorrhous"
"Vespa velutina","preysOn","Melanostoma mellinum"
"Vespa velutina","preysOn","Paragus pecchiolii"
"Vespa velutina","preysOn","Apis mellifera"
"Vespa velutina","eats","Mantis religiosa"
"Vespa velutina","eats","Panorpa communis"
"Vespa velutina","eats","Eristalis arbustorum"
"Vespa velutina","preysOn","Epistrophe nitidicollis"
"Vespa velutina","preysOn","Eupeodes corollae"
"Vespa velutina","preysOn","Episyrphus balteatus"
"Vespa velutina","interactsWith","Quercus robur"
"Vespa velutina","preysOn","Epistrophe eligans"
"Vespa velutina","preysOn","Ferdinandea cuprea"
"Vespa velutina","preysOn","Mallota florea"
"Vespa velutina","preysOn","Eristalis arbustorum"
"Vespa velutina","preysOn","Sphaerophoria scripta"
"Vespa velutina","preysOn","Scaeva pyrastri"
"Vespa velutina","preysOn","Syrphus ribesii"
"Vespa velutina","preysOn","Syrphus vitripennis"
"Vespa velutina","preysOn","Chrysotoxum vernale"
"Vespa velutina","preysOn","Chrysotoxum bicinctum"
"Vespa velutina","preysOn","Meliscaeva auricollis"
"Vespa velutina","preysOn","Pipizella viduata"
"Vespa velutina","preysOn","Eristalis tenax"
"Vespa velutina","interactsWith","Robinia pseudoacacia"
"Vespa velutina","interactsWith","Alnus glutinosa"
"Vespa velutina","eats","Emberiza cirlus"
"Vespa velutina","eats","Polistes dominula"
"Vespa velutina","eats","Melanostoma mellinum"
"Vespa velutina","eats","Hedera helix"
"Vespa velutina","eats","Ferdinandea cuprea"
"Vespa velutina","eats","Graphomya maculata"
"Vespa velutina","preysOn","Helophilus trivittatus"
"Vespa velutina","preysOn","Xanthogramma pedissequum"
"Vespa velutina","preysOn","Xanthogramma festiva"
"Vespa velutina","preysOn","Criorhina berberina"
"Vespa velutina","preysOn","Syritta pipiens"
"Vespa velutina","preysOn","Volucella bombylans"
"Vespa velutina","preysOn","Xylota segnis"
"Vespa velutina","preysOn","Eupeodes luniger"
"Vespa velutina","preysOn","Temnostoma vespiforme"
"Vespa velutina","preysOn","Chrysotoxum cautum"
"Vespa velutina","preysOn","Chrysotoxum verralli"
"Vespa velutina","preysOn","Chrysotoxum octomaculatum"
"Vespa velutina","preysOn","Chalcosyrphus nemorum"
"Vespa velutina","preysOn","Caliprobola speciosa"
"Vespa velutina","interactsWith","Salix alba"
"Vespa velutina","interactsWith","Morus alba"
"Vespa velutina","interactsWith","Gleditsia triacanthos"
"Vespa velutina","interactsWith","Vanessa atalanta"
"Vespa velutina","eats","Apatura ilia"
"Vespa velutina","eats","Pararge aegeria"
"Vespa velutina","eats","Polyommatus icarus"
"Vespa velutina","eats","Xanthogramma festiva"
"Vespa velutina","eats","Cervus elaphus"
"Vespa velutina","eats","Coenonympha pamphilus"
"Vespa velutina","eats","Vanessa atalanta"
"Vespa velutina","eats","Nomophila noctuella"
"Vespa velutina","eats","Autographa gamma"
"Vespa velutina","eats","Agrotis exclamationis"
"Vespa velutina","eats","Lacanobia oleracea"
"Vespa velutina","eats","Pholidoptera griseoaptera"
"Vespa velutina","eats","Volucella zonaria"
"Vespa velutina","eats","Volucella inanis"
"Vespa velutina","eats","Scaeva selenitica"
"Vespa velutina","eats","Meliscaeva auricollis"
"Vespa velutina","eats","Cynomya mortuorum"
