"","sourceSpeciesName","sourcePhylum","sourceKingdom","interactionType","targetSpeciesName","targetPhylum","targetKingdom"
"1","Avian coronavirus","","","hasHost","Gallus gallus","Chordata","Animalia"
"2","Vespa velutina","Arthropoda","Animalia","eats","Apis mellifera","Arthropoda","Animalia"
"3","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Galleria mellonella","Arthropoda","Animalia"
"4","Escherichia coli","Proteobacteria","","pathogenOf","Gallus gallus","Chordata","Animalia"
"5","Vespa velutina","Arthropoda","Animalia","eats","Vespula vulgaris","Arthropoda","Animalia"
"6","Newcastle disease virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"7","Influenza A virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"8","Mycoplasma gallisepticum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"9","Escherichia coli","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"10","Infectious bursal disease virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"11","Campylobacter jejuni","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"12","Chicken anemia virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"13","Avian leukosis virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"14","Gallid herpesvirus 2","","","hasHost","Gallus gallus","Chordata","Animalia"
"15","Campylobacter coli","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"16","Gallid herpesvirus 1","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"17","Salmonella enterica","Proteobacteria","","pathogenOf","Gallus gallus","Chordata","Animalia"
"18","Salmonella enterica","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"19","Eimeria tenella","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"20","Clostridium perfringens","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"21","Heterakis vesicularis","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"22","Reticuloendotheliosis virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"23","Avian metapneumovirus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"24","Avian orthoreovirus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"25","Toxoplasma gondii","Myzozoa","Chromista","hasHost","Gallus gallus","Chordata","Animalia"
"26","Rous sarcoma virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"27","Eimeria acervulina","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"28","Clostridium septicum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"29","Staphylococcus aureus","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"30","Lactobacillus reuteri","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"31","Nosema","Microspora","Fungi","hasHost","Apis mellifera","Arthropoda","Animalia"
"32","Avian myeloblastosis virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"33","Saccharomyces cerevisiae","Ascomycota","Fungi","hasHost","Gallus gallus","Chordata","Animalia"
"34","Fowlpox virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"35","Clostridium novyi","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
