"x"
"Apis mellifera"
"Vespula germanica"
"Hedera helix"
"Eristalis pertinax"
"Eristalis tenax"
"Episyrphus balteatus"
"Fagus sylvatica"
"Alydus calcaratus"
"Scathophaga stercoraria"
"Mallota florea"
"Paragus haemorrhous"
"Melanostoma mellinum"
"Paragus pecchiolii"
"Mantis religiosa"
"Panorpa communis"
"Eristalis arbustorum"
"Epistrophe nitidicollis"
"Eupeodes corollae"
"Quercus robur"
"Epistrophe eligans"
"Ferdinandea cuprea"
"Sphaerophoria scripta"
"Scaeva pyrastri"
"Syrphus ribesii"
"Syrphus vitripennis"
"Chrysotoxum vernale"
"Chrysotoxum bicinctum"
"Meliscaeva auricollis"
"Pipizella viduata"
"Robinia pseudoacacia"
"Alnus glutinosa"
"Emberiza cirlus"
"Polistes dominula"
"Graphomya maculata"
"Helophilus trivittatus"
"Xanthogramma pedissequum"
"Xanthogramma festiva"
"Criorhina berberina"
"Syritta pipiens"
"Volucella bombylans"
"Xylota segnis"
"Eupeodes luniger"
"Temnostoma vespiforme"
"Chrysotoxum cautum"
"Chrysotoxum verralli"
"Chrysotoxum octomaculatum"
"Chalcosyrphus nemorum"
"Caliprobola speciosa"
"Salix alba"
"Morus alba"
"Gleditsia triacanthos"
"Vanessa atalanta"
"Apatura ilia"
"Pararge aegeria"
"Polyommatus icarus"
"Cervus elaphus"
"Coenonympha pamphilus"
"Nomophila noctuella"
"Autographa gamma"
"Agrotis exclamationis"
"Lacanobia oleracea"
"Pholidoptera griseoaptera"
"Volucella zonaria"
"Volucella inanis"
"Scaeva selenitica"
"Cynomya mortuorum"
"Bombus lapidarius"
"Polistes nimpha"
"Pernis apivorus"
"Gallus gallus"
