"x"
"Turdus pilaris"
"Salamandra salamandra"
"Sylvia atricapilla"
"Turdus philomelos"
"Podarcis siculus"
"Talpa europaea"
"Natrix tessellata"
"Garrulus glandarius"
"Bufo bufo"
"Emberiza citrinella"
"Podarcis muralis"
"Eremias arguta"
"Darevskia praticola"
"Hyla arborea"
"Rana temporaria"
"Lacerta trilineata"
"Prunella modularis"
"Turdus merula"
"Muscicapa striata"
"Columba palumbus"
"Perdix perdix"
"Lacerta agilis"
"Natrix natrix"
"Podarcis tauricus"
"Zootoca vivipara"
"Anguis fragilis"
"Mustela nivalis"
"Pelophylax ridibundus"
"Lacerta viridis"
"Melilotus albus"
"Trifolium repens"
"Barbastella barbastellus"
"Cirsium vulgare"
"Taraxacum officinale"
"Asclepias syriaca"
"Echium vulgare"
"Prunella vulgaris"
"Cirsium arvense"
"Myotis bechsteinii"
"Urtica dioica"
"Plantago lanceolata"
"Mentha aquatica"
"Glechoma hederacea"
"Trifolium pratense"
"Medicago sativa"
"Centaurea cyanus"
"Lotus corniculatus"
"Achillea millefolium"
"Vicia villosa"
"Lythrum salicaria"
"Origanum vulgare"
"Carduus nutans"
"Erigeron annuus"
"Dipsacus laciniatus"
"Scolymus hispanicus"
"Cichorium intybus"
"Prunus spinosa"
"Dactylis glomerata"
"Robinia pseudoacacia"
"Salvia pratensis"
"Medicago lupulina"
"Sonchus oleraceus"
"Papaver rhoeas"
"Turdus viscivorus"
"Anthoxanthum odoratum"
"Bellis perennis"
"Hylotelephium telephium"
"Galinsoga parviflora"
"Scabiosa columbaria"
"Medicago falcata"
"Onobrychis viciifolia"
"Turdus iliacus"
"Amorpha fruticosa"
"Teucrium chamaedrys"
"Cyanus segetum"
"Centaurea scabiosa"
"Malva sylvestris"
"Lamium galeobdolon"
"Eupatorium cannabinum"
"Turdus torquatus"
"Tanacetum vulgare"
"Tussilago farfara"
"Cynodon dactylon"
"Convolvulus arvensis"
"Humulus lupulus"
"Geranium pratense"
"Scabiosa ochroleuca"
"Vicia sativa"
"Lithosia quadra"
"Erithacus rubecula"
"Mikiola fagi"
"Trifolium arvense"
"Sambucus ebulus"
"Dipsacus fullonum"
"Tripolium pannonicum"
"Berteroa incana"
"Primula acaulis"
"Bistorta vivipara"
"Ficaria verna"
"Campanula rapunculoides"
"Anemone nemorosa"
"Ajuga reptans"
"Erodium cicutarium"
"Centaurea calcitrapa"
"Astrantia major"
"Salvia nemorosa"
"Mentha vagans"
"Potentilla erecta"
"Silene dioica"
"Iris pseudacorus"
"Linaria vulgaris"
"Epilobium hirsutum"
"Geranium phaeum"
"Impatiens glandulifera"
"Eryngium campestre"
"Impatiens noli-tangere"
"Impatiens parviflora"
"Alliaria petiolata"
"Geranium robertianum"
"Lamiastrum galeobdolon"
"Parectopa robiniella"
"Mentha longifolia"
"Fringilla coelebs"
"Phoenicurus ochruros"
"Succisa pratensis"
"Cornus sanguinea"
"Conium maculatum"
"Corylus avellana"
"Aquilegia vulgaris"
"Leontopodium nivale ex"
"Lapsana communis"
"Tribulus terrestris"
"Ricinus communis"
"Hepatica nobilis"
"Caltha palustris"
"Carlina acaulis"
"Pulsatilla vulgaris"
"Dictamnus albus"
"Ornithogalum umbellatum"
"Cardamine pratensis"
"Colchicum autumnale"
"Hypericum perforatum"
"Heliotropium europaeum"
"Achillea ptarmica"
"Solidago virgaurea"
"Argentina anserina"
"Filipendula ulmaria"
"Stenactis annua"
"Chelidonium majus"
"Vaccinium vitis-idaea"
"Viscum album"
"Meripilus giganteus"
"Platanthera chlorantha"
"Vicia sepium"
"Reseda lutea"
"Veronica persica"
"Taraxacum offcinale"
"Sambucus nigra"
"Silene latifolia"
"Galega officinalis"
"Empetrum nigrum"
"Cardaria draba"
"Bistorta officinalis"
"Drosera rotundifolia"
"Pyronia tithonus"
