"","X","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"1",67,1047536,"Leptinotarsa decemlineata (Say, 1824)","Leptinotarsa decemlineata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Leptinotarsa decemlineata",1,1047536,"Leptinotarsa decemlineata","Animalia"
"2",107,8223165,"Ostrinia nubilalis Hübner, 1796","Ostrinia nubilalis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Ostrinia nubilalis",1,8223165,"Ostrinia nubilalis","Animalia"
"3",204,2480420,"Pernis apivorus (Linnaeus, 1758)","Pernis apivorus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Pernis apivorus",1,2480420,"Pernis apivorus","Animalia"
"4",290,9326020,"Gallus gallus (Linnaeus, 1758)","Gallus gallus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Gallus gallus",1,9326020,"Gallus gallus","Animalia"
"5",356,5959092,"Bubo bubo (Linnaeus, 1758)","Bubo bubo","SPECIES","ACCEPTED",100,"EXACT","Animalia","Bubo bubo",1,5959092,"Bubo bubo","Animalia"
"6",357,2482492,"Corvus corax Linnaeus, 1758","Corvus corax","SPECIES","ACCEPTED",100,"EXACT","Animalia","Corvus corax",1,2482492,"Corvus corax","Animalia"
"7",359,2480506,"Aquila chrysaetos (Linnaeus, 1758)","Aquila chrysaetos","SPECIES","ACCEPTED",100,"EXACT","Animalia","Aquila chrysaetos",1,2480506,"Aquila chrysaetos","Animalia"
"8",372,5218878,"Martes martes (Linnaeus, 1758)","Martes martes","SPECIES","ACCEPTED",100,"EXACT","Animalia","Martes martes",1,5218878,"Martes martes","Animalia"
"9",463,5219243,"Vulpes vulpes (Linnaeus, 1758)","Vulpes vulpes","SPECIES","ACCEPTED",100,"EXACT","Animalia","Vulpes vulpes",1,5219243,"Vulpes vulpes","Animalia"
"10",488,2482515,"Corvus cornix Linnaeus, 1758","Corvus cornix","SPECIES","ACCEPTED",100,"EXACT","Animalia","Corvus cornix",1,2482515,"Corvus cornix","Animalia"
"11",491,9797180,"Ardea cinerea Linnaeus, 1758","Ardea cinerea","SPECIES","ACCEPTED",100,"EXACT","Animalia","Ardea cinerea",1,9797180,"Ardea cinerea","Animalia"
"12",505,2435035,"Felis catus Linnaeus, 1758","Felis catus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Felis catus",1,2435035,"Felis catus","Animalia"
"13",515,1341976,"Apis mellifera Linnaeus, 1758","Apis mellifera","SPECIES","ACCEPTED",100,"EXACT","Animalia","Apis mellifera",1,1341976,"Apis mellifera","Animalia"
"14",516,1311527,"Vespa crabro Linnaeus","Vespa crabro","SPECIES","ACCEPTED",100,"EXACT","Animalia","Vespa crabro",1,1311527,"Vespa crabro","Animalia"
"15",534,2497509,"Strix uralensis Pallas, 1771","Strix uralensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Strix uralensis",1,2497509,"Strix uralensis","Animalia"
"16",570,2433433,"Ursus arctos Linnaeus, 1758","Ursus arctos","SPECIES","ACCEPTED",100,"EXACT","Animalia","Ursus arctos",1,2433433,"Ursus arctos","Animalia"
"17",621,1594607,"Mikiola fagi (Hartig, 1839)","Mikiola fagi","SPECIES","ACCEPTED",100,"EXACT","Animalia","Mikiola fagi",1,1594607,"Mikiola fagi","Animalia"
"18",639,5871389,"Polistes dominula (Christ, 1791)","Polistes dominula","SPECIES","ACCEPTED",100,"EXACT","Animalia","Polistes dominula",1,5871389,"Polistes dominula","Animalia"
"19",645,1748922,"Parectopa robiniella Clemens, 1863","Parectopa robiniella","SPECIES","ACCEPTED",100,"EXACT","Animalia","Parectopa robiniella",1,1748922,"Parectopa robiniella","Animalia"
"20",655,1820406,"Lymantria dispar Linnaeus, 1758","Lymantria dispar","SPECIES","ACCEPTED",100,"EXACT","Animalia","Lymantria dispar",1,1820406,"Lymantria dispar","Animalia"
"21",699,2878688,"Quercus robur L.","Quercus robur","SPECIES","ACCEPTED",99,"EXACT","Plantae","Quercus robur",6,2878688,"Quercus robur","Plantae"
"22",707,5219173,"Canis lupus Linnaeus, 1758","Canis lupus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Canis lupus",1,5219173,"Canis lupus","Animalia"
"23",720,1544431,"Syritta pipiens (Linnaeus, 1758)","Syritta pipiens","SPECIES","ACCEPTED",100,"EXACT","Animalia","Syritta pipiens",1,1544431,"Syritta pipiens","Animalia"
"24",746,1541146,"Eristalis arbustorum (Linnaeus, 1758)","Eristalis arbustorum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Eristalis arbustorum",1,1541146,"Eristalis arbustorum","Animalia"
"25",754,1341976,"Apis mellifera Linnaeus, 1758","Apis mellifera","SPECIES","ACCEPTED",99,"EXACT","Animalia","Apis mellifera",1,1341976,"Apis mellifera ",""
"26",762,4496895,"Cynips quercusfolii Linnaeus, 1758","Cynips quercusfolii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Cynips quercusfolii",1,4496895,"Cynips quercusfolii","Animalia"
"27",766,1737847,"Cydia pomonella (Linnaeus, 1758)","Cydia pomonella","SPECIES","ACCEPTED",100,"EXACT","Animalia","Cydia pomonella",1,1737847,"Cydia pomonella","Animalia"
"28",772,2542395,"Fomitopsis pinicola (Sw.) P.Karst.","Fomitopsis pinicola","SPECIES","ACCEPTED",100,"EXACT","Fungi","Fomitopsis pinicola",5,2542395,"Fomitopsis pinicola","Fungi"
