scientificName
Vespa velutina
Apis mellifera
Vespula vulgaris
Vespula germanica
Hedera helix
Pollenia rudis
Eristalis pertinax
Eristalis tenax
Araneus diadematus
Sarcophaga carnaria
Chrysomya albiceps
Episyrphus balteatus
Lucilia caesar
Vitis vinifera
Calliphora vicina
Lucilia sericata
Alydus calcaratus
Scathophaga stercoraria
Ficus carica
Mallota florea
Foeniculum vulgare
Eriobotrya japonica
Mantis religiosa
Panorpa communis
Cheilosia tarditas
Mesembrina meridiana
Ectophasia crassipennis
Reynoutria japonica
Sargus bipunctatus
Eristalis arbustorum
Musca autumnalis
Epistrophe nitidicollis
Eupeodes corollae
Panorpa germanica
Dryomyza anilis
Campsis radicans
Euonymus japonicus
Heracleum sphondylium
Epistrophe eligans
Melanostoma scalare
Ferdinandea cuprea
Eupeodes latifasciatus
Sphaerophoria scripta
Scaeva pyrastri
Syrphus ribesii
Meliscaeva auricollis
Pipizella viduata
Emberiza cirlus
Polistes dominula
Pyrus communis
Phaonia valida
Aphrophora salicina
Apodemus flavicollis
Noctua fimbriata
Stomorhina lunata
Graphomya maculata
Tipula paludosa
Phasia aurigera
Volinus sticticus
Rubus fruticosus
Pittosporum tobira
Oxalis corniculata
Caryopteris incana
Angelica sylvestris
Oenothera lindheimeri
Oenothera glazioviana
Euphorbia characias
Elaeagnus multiflora
Fatsia japonica
Aralia elata
Mentha suaveolens
Lantana camara
Fagopyrum esculentum
Allium fistulosum
Musa basjoo
Thalia dealbata
Ampelopsis heterophylla
Helophilus trivittatus
Xanthogramma pedissequum
Criorhina berberina
Syritta pipiens
Volucella bombylans
Xylota segnis
Eupeodes luniger
Xanthandrus comtus
Temnostoma vespiforme
Chrysotoxum cautum
Caliprobola speciosa
Musca domestica
Theronia atalantae
Cylindromyia bicolor
Apatura ilia
Pararge aegeria
Prunus domestica
Panorpa cognata
Cabera exanthemata
Polyommatus icarus
Phaonia pallida
Phaonia tuguriorum
Gymnosoma nudifrons
Dicranopalpus ramosus
Xiphydria longicollis
Crataegus germanica
Prunus avium
Cervus elaphus
Oryctolagus cuniculus
Agalenatea redii
Larinioides sclopetarius
Metellina mengei
Metellina segmentata
Pseudomallada prasinus
Himacerus apterus
Coenonympha pamphilus
Vanessa atalanta
Nomophila noctuella
Orgyia antiqua
Autographa gamma
Noctua pronuba
Agrotis exclamationis
Lacanobia oleracea
Pholidoptera griseoaptera
Meconema meridionale
Volucella zonaria
Volucella inanis
Scaeva selenitica
Neomyia cornicina
Stomoxys calcitrans
Onesia viarum
Cynomya mortuorum
Linnaemya vulpina
Chaetopteryx villosa
Bombus lapidarius
Vespa velutina
Pernis apivorus
Gallus gallus
Beauveria bassiana
Varroa destructor
Galleria mellonella
Brassicogethes aeneus
Leptinotarsa decemlineata
Lymantria dispar
Cydia pomonella
Phaseolus vulgaris
Ostrinia nubilalis
Pieris brassicae
Sitophilus oryzae
Plutella xylostella
Pieris rapae
Otiorhynchus sulcatus
Hypera postica
Ips typographus
Tenebrio molitor
Coccinella septempunctata
Sitona hispidulus
Turdus pilaris
Zeuzera pyrina
Calliptamus italicus
Sitona lineatus
Otiorhynchus ovatus
Nezara viridula
Panolis flammea
Cossus cossus
Carpocapsa pomonella
Helicoverpa armigera
Salamandra salamandra
Anchomenus dorsalis
Sceliphron caementarium
Amara plebeja
Bembidion lampros
Loricera pilicornis
Amara familiaris
Amara aenea
Carabus violaceus
Broscus cephalotes
Coccus hesperidum
Leucoma salicis
Chrysolina brunsvicensis
Sylvia atricapilla
Turdus philomelos
Podarcis siculus
Talpa europaea
Natrix tessellata
Garrulus glandarius
Bufo bufo
Emberiza citrinella
Podarcis muralis
Hyla arborea
Rana temporaria
Rana arvalis
Pelophylax bedriagae
Prunella modularis
Turdus merula
Muscicapa striata
Columba palumbus
Perdix perdix
Lacerta agilis
Zootoca vivipara
Anguis fragilis
Mustela nivalis
Pelophylax ridibundus
Pelophylax lessonae
Hyla meridionalis
Ahasverus advena
Diprion pini
Gyrohypnus angustatus
Sminthurus viridis
Oulema gallaeciana
Gonioctena olivacea
Plagiosterna aenea
Acanthocinus aedilis
Lilioceris lilii
Chilocorus bipustulatus
Hylurgops palliatus
Tomicus piniperda
Scolytus scolytus
Hylobius abietis
Ips cembrae
Orthotomicus laricis
Pamphilius betulae
Pentatoma rufipes
Hedya nubiferana
Exochomus quadripustulatus
Delphacodes striatella
Culex pipiens
Stereonychus fraxini
Corythucha ciliata
Diprion similis
Neodiprion sertifer
Trialeurodes vaporariorum
Oulema melanopus
Brachyderes incanus
Forficula auricularia
Rhizophagus grandis
Cnephasia longana
Acanthocinus griseus
Melolontha melolontha
Aphodius fimetarius
Megachile rotundata
Omonadus floralis
Alphitobius diaperinus
Zea mays
Myelois circumvoluta
Ips sexdentatus
Dryocoetes autographus
Hylurgus ligniperda
Scolytus multistriatus
Hylastinus obscurus
Euproctis chrysorrhoea
Salvia rosmarinus
Melilotus officinalis
Trifolium repens
Raphanus sativus
Ruta graveolens
Sixalix atropurpurea
Cirsium vulgare
Taraxacum officinale
Rubus idaeus
Eschscholzia californica
Asclepias syriaca
Buddleja davidii
Echium vulgare
Centaurea solstitialis
Centaurea stoebe
Borago officinalis
Helianthus annuus
Melilotus albus
Cosmos bipinnatus
Symphyotrichum novae-angliae
Verbesina alternifolia
Prunella vulgaris
Helminthotheca echioides
Ageratina altissima
Daucus carota
Cirsium arvense
Echinacea purpurea
Vitex agnus-castus
Phyla nodiflora
Urtica dioica
Tropaeolum majus
Hirschfeldia incana
Echium pininana
Plantago lanceolata
Mentha aquatica
Rubus armeniacus
Lavandula angustifolia
Sisymbrium loeselii
Glechoma hederacea
Escallonia rubra
Crassula ovata
Malus domestica
Trifolium pratense
Coriandrum sativum
Rosmarinus officinalis
Solidago canadensis
Lavandula stoechas
Cynoglossum amabile
Veronica polita
Medicago sativa
Phacelia tanacetifolia
Centaurea cyanus
Lotus corniculatus
Anchusa officinalis
Eutrochium maculatum
Crepis tectorum
Passiflora caerulea
Calluna vulgaris
Symphoricarpos albus
Sonchus arvensis
Achillea millefolium
Vicia villosa
Malva alcea
Cephalanthus occidentalis
Clarkia unguiculata
Silybum marianum
Mentha pulegium
Persicaria capitata
Symphyotrichum pilosum
Lythrum salicaria
Gilia capitata
Erigeron glaucus
Cakile maritima
Origanum vulgare
Ranunculus acris
Knautia arvensis
Carduus nutans
Erigeron annuus
Helianthus tuberosus
Rubus ursinus
Dipsacus laciniatus
Erigeron karvinskianus
Zinnia elegans
Dahlia pinnata
Thymus serpyllum
Calendula officinalis
Euphorbia virgata
Eranthis hyemalis
Teucrium fruticans
Lathyrus latifolius
Asclepias speciosa
Stachys byzantina
Mentha canadensis
Verbena bonariensis
Allium triquetrum
Campanula portenschlagiana
Echinops exaltatus
Bidens pilosa
Salvia yangii
Dasiphora fruticosa
Oenothera speciosa
Asclepias incarnata
Prunus laurocerasus
Prunus tomentosa
Symphyotrichum lateriflorum
