Aaroniella badonneli
Abaeis deva
Abaeis nicippe
Abaeis salome
Abatia parviflora
Abax ovalis
Abdera affinis
Abdera flexuosa
Abies alba
Abispa ephippium
Ablaxia temporalis
Ablerus celsus
Ablerus clisiocampae
Abortiporus biennis
Abraxas grossulariata
Abronia latifolia
Abronia maritima
Abronia umbellata
Abronia villosa
Abrostola triplasia
Absidia corymbifera
Aburria jacutinga
Abutilon grandifolium
Acacia cultriformis
Acacia dealbata
Acacia decurrens
Acacia longifolia
Acacia melanoxylon
Acacia retinodes
Acacia saligna
Acalitus brevitarsus
Acalitus phyllereus
Acalitus stenaspis
Acalles misellus
Acalypha macrostachya
Acalypta carinata
Acalypta nigrina
Acamptopappus sphaerocephalus
Acanalonia conica
Acantharia sinensis
Acanthis cabaret
Acanthocephala femorata
Acanthocephala terminalis
Acanthocinus aedilis
Acanthocinus griseus
Acantholybas brunneus
Acanthonitschkea tristis
Acanthoscelides obtectus
Acanthosoma haemorrhoidale
Acanthostigma ellisii
Acanthostigma scopulum
Acanthotrema tridactyla
Acanthuchus trispinifer
Acanthus mollis
Acanthus spinosus
Acarapis woodi
Acaricomes phytoseiuli
Acca sellowiana
Accipiter brevipes
Accipiter cooperii
Accipiter gentilis
Accipiter nisus
Accipiter striatus
Acer campestre
Acer ginnala
Acer negundo
Acer palmatum
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer saccharinum
Acer saccharum
Acer serrulatum
Aceria cephalonea
Aceria fraxinicola
Aceria fraxinivora
Aceria lantanae
Aceria macrorhyncha
Aceria myriadeum
Aceria nalepai
Aceria nervisequa
Aceria platanoidea
Aceria pseudoplatani
Aceria tenella
Acericecis ocellaris
Acerophagus flavidulus
Acerophagus gutierreziae
Acerophagus malinus
Acerophagus notativentris
Acetitomaculum ruminis
Acetobacter indonesiensis
Acetobacter pasteurianus
Achaea janata
Achaea lienardi
Achaius oratorius
Acharia stimulea
Achatia distincta
Acherontia atropos
Acherontia lachesis
Acheta domesticus
Achillea filipendulina
Achillea ligustica
Achillea millefolium
Achillea ptarmica
Achlya flavicornis
Achlya racemosa
Achlyodes pallida
Achlysiella williamsi
Achnanthes joursacense
Achnanthes lemmermannii
Achnanthes minutissima
Achnanthes modestiformis
Achnanthes ploenensis
Achnanthidium helveticum
Acholeplasma equifetale
Acholeplasma laidlawii
Acholeplasma morum
Achorion schoenleini
Achroia grisella
Achromobacter xylosoxidans
Achrysocharoides buekkensis
Achrysocharoides butus
Achrysocharoides carpini
Achrysocharoides cilla
Achrysocharoides gahani
Achrysocharoides latreillii
Achrysocharoides niveipes
Achrysocharoides parva
Achrysocharoides robiniae
Achrysocharoides robinicolus
Achrysocharoides splendens
Achrysocharoides zwoelferi
Achyrocline satureioides
Achyrocline satureoides
Achytonix epipaschia
Acidovorax defluvii
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter gandensis
Acinetobacter haemolyticus
Acinetobacter soli
Acinetobacter variabilis
Acleris cristana
Acleris forsskaleana
Acleris gloveranus
Acleris gossypiella
Acleris literana
Acleris minuta
Acleris notana
Acleris variegana
Acmella caulirhiza
Acmispon brachycarpus
Acmispon glaber
Acmispon rigidus
Acmopolynema sema
Acnistus arborescens
Aconitum carmichaelii
Aconophora compressa
Aconophora elongatiformis
Acraea aganice
Acraea egina
Acraea insignis
Acraea natalica
Acraea terpsicore
Acraea violae
Acraea zetes
Acremonium kiliense
Acremonium velutinum
Acremonium zonatum
Acria emarginella
Acridotheres fuscus
Acridotheres tristis
Acrobasis advenella
Acrobasis juglandis
Acrobasis tricolorella
Acrocercops brongniardella
Acrocercops eugeniella
Acrocercops hierocosma
Acrocomia aculeata
Acrocormus semifasciatus
Acrolophus mora
Acronicta aceris
Acronicta americana
Acronicta auricoma
Acronicta brumosa
Acronicta euphorbiae
Acronicta interrupta
Acronicta leporina
Acronicta oblinita
Acronicta pruni
Acronicta psi
Acronicta rumicis
Acronicta tridens
Acrophylla titan
Acrophylla wuelfingi
Acrospeira mirabilis
Acrospermum compressum
Acrosporium carneum
Acrossidius tasmaniae
Acrostalagmus
Acrosternum millierei
Acrotona parvula
Acrotrichis fascicularis
Acrotrichis sitkaensis
Actaea racemosa
Actias luna
Actias selene
Actidium
Actinobacillus capsulatus
Actinobacillus equuli
Actinobacillus lignieresii
Actinobacillus pleuropneumoniae
Actinobacillus succinogenes
Actinobacillus suis
Actinocladium rhodosporum
Actinodendron verticillatum
Actinomyces bovis
Actinomyces denticolens
Actinomyces howellii
Actinomyces israelii
Actinomyces ruminicola
Actinomyces slackii
Actinomyces vaccimaxillae
Actinonema fraxini
Actizera lucida
Actizera stellata
Acuaria cordata
Acuaria hamulosa
Acuaria kinsellai
Aculepeira ceropegia
Aculops macrotrichus
Aculus craspedobius
Aculus epiphyllus
Aculus fraxini
Aculus tetanothrix
Acupalpus meridianus
Acute bee paralysis virus
Acyrthosiphon kondoi
Acyrthosiphon pisum
Acytolepis puspa
Adalia bipunctata
Adalia decempunctata
Adela croesella
Adelaide River ephemerovirus
Adelaide River virus
Adelencyrtus brachycaudae
Adelges (gilletteella) cooleyi
Adelges cooleyi
Adelges piceae
Adelges tsugae
Adelinia grande
Adelpha californica
Adelpha syma
Adelphocoris seticornis
Adenaria floribunda
Adeno-associated dependoparvovirus A
Adeno-associated dependoparvovirus B
Adenocaulon bicolor
Adenocaulon himalaicum
Adenophora triphylla
Adenostoma fasciculatum
Adenostoma sparsifolium
Aderus populneus
Adesmia bijuga
Adesmia grandiflora
Adesmia incana
Adinandra integerrima
Adolphia infesta
Adoretosoma galerucina
Adoryphorus couloni
Adoxa moschatellina
Adoxophyes dubia
Adoxophyes fasciculana
Adoxophyes orana
Adoxophyes privatana
Adrastus rachifer
Aecidium bogotense
Aecidium elaeagni
Aecidium euphorbiae
Aecidium fraxini
Aecidium hederae
Aecidium hydrangeae-paniculatae
Aecidium lobbii
Aecidium mori
Aecidium moricola
Aecidium nikkense
