speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1000106,"Methanobacterium alcaliphilum Worakit et al., 1986",SPECIES,ACCEPTED,Archaea,"1000106: Methanobacterium alcaliphilum Worakit et al., 1986"
1001487,"Lepadella ovalis (Müller, 1786)",SPECIES,ACCEPTED,Animalia,"1001487: Lepadella ovalis (Müller, 1786)"
1001548,"Lepadella deridderae Segers, De Smet & Bonte, 1996",SPECIES,ACCEPTED,Animalia,6155426: Lepadella deridderae deridderae
1001728,"Paradicranophorus sinus De Smet, 2003",SPECIES,ACCEPTED,Animalia,"1001728: Paradicranophorus sinus De Smet, 2003"
1001810,"Encentrum tenuidigitatum De Smet, 2000",SPECIES,ACCEPTED,Animalia,"1001810: Encentrum tenuidigitatum De Smet, 2000"
1002126,"Mytilina mucronata (Müller, 1773)",SPECIES,ACCEPTED,Animalia,"1002126: Mytilina mucronata (Müller, 1773)"
1002550,"Euchlanis dilatata Ehrenberg, 1832",SPECIES,ACCEPTED,Animalia,"1002550: Euchlanis dilatata Ehrenberg, 1832"
1002567,"Cotylegaleata perplexa De Smet, 2007",SPECIES,ACCEPTED,Animalia,"1002567: Cotylegaleata perplexa De Smet, 2007"
1002577,"Platyias quadricornis (Ehrenberg, 1832)",SPECIES,ACCEPTED,Animalia,"1002577: Platyias quadricornis (Ehrenberg, 1832)"
1002614,"Keratella testudo (Ehrenberg, 1832)",SPECIES,ACCEPTED,Animalia,"1002614: Keratella testudo (Ehrenberg, 1832)"
1002648,"Keratella quadrata (Müller, 1786)",SPECIES,ACCEPTED,Animalia,"1002648: Keratella quadrata (Müller, 1786)"
1002944,"Proales christinae De Smet, 1994",SPECIES,ACCEPTED,Animalia,"1002944: Proales christinae De Smet, 1994"
1003112,"Polyarthra vulgaris Carlin, 1943",SPECIES,ACCEPTED,Animalia,"1003112: Polyarthra vulgaris Carlin, 1943"
1003113,"Polyarthra dolichoptera Idelson, 1925",SPECIES,ACCEPTED,Animalia,"1003113: Polyarthra dolichoptera Idelson, 1925"
1003399,"Cephalodella segersi De Smet, 1998",SPECIES,ACCEPTED,Animalia,"1003399: Cephalodella segersi De Smet, 1998"
1003567,"Pectinatella magnifica (Leidy, 1851)",SPECIES,ACCEPTED,Animalia,"1003567: Pectinatella magnifica (Leidy, 1851)"
1003588,"Plumatella casmiana Oka, 1907",SPECIES,ACCEPTED,Animalia,"1003588: Plumatella casmiana Oka, 1907"
1003652,"Cristatella mucedo Cuvier, 1798",SPECIES,ACCEPTED,Animalia,"1003652: Cristatella mucedo Cuvier, 1798"
1004063,"Stomatoporina incurvata (Hincks, 1860)",SPECIES,ACCEPTED,Animalia,"1004063: Stomatoporina incurvata (Hincks, 1860)"
1004151,"Plagioecia patina (Lamarck, 1816)",SPECIES,ACCEPTED,Animalia,"1004151: Plagioecia patina (Lamarck, 1816)"
1004241,"Disporella hispida (Fleming, 1828)",SPECIES,ACCEPTED,Animalia,"1004241: Disporella hispida (Fleming, 1828)"
1004851,"Hagiosynodos latus (Busk, 1856)",SPECIES,ACCEPTED,Animalia,"1004851: Hagiosynodos latus (Busk, 1856)"
1005709,"Escharoides bishopi De Blauwe, 2006",SPECIES,ACCEPTED,Animalia,"1005709: Escharoides bishopi De Blauwe, 2006"
1005827,"Setosella vulnerata (Busk, 1860)",SPECIES,ACCEPTED,Animalia,"1005827: Setosella vulnerata (Busk, 1860)"
1005875,"Trypostega venusta (Norman, 1864)",SPECIES,ACCEPTED,Animalia,"1005875: Trypostega venusta (Norman, 1864)"
1005964,"Hippothoa flagellum Manzoni, 1870",SPECIES,ACCEPTED,Animalia,"1005964: Hippothoa flagellum Manzoni, 1870"
1005979,"Hippothoa divaricata Lamouroux, 1821",SPECIES,ACCEPTED,Animalia,"1005979: Hippothoa divaricata Lamouroux, 1821"
1006372,"Chorizopora brongniartii (Audouin, 1826)",SPECIES,ACCEPTED,Animalia,"1006372: Chorizopora brongniartii (Audouin, 1826)"
1006459,"Aspidelectra melolontha (Landsborough, 1852)",SPECIES,ACCEPTED,Animalia,"1006459: Aspidelectra melolontha (Landsborough, 1852)"
1006474,"Securiflustra securifrons (Pallas, 1766)",SPECIES,ACCEPTED,Animalia,"1006474: Securiflustra securifrons (Pallas, 1766)"
1006487,"Flustra foliacea (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1006487: Flustra foliacea (Linnaeus, 1758)"
1006700,"Parasmittina trispinosa (Johnston, 1838)",SPECIES,ACCEPTED,Animalia,"1006700: Parasmittina trispinosa (Johnston, 1838)"
1007094,"Crassimarginatella solidula (Hincks, 1860)",SPECIES,ACCEPTED,Animalia,"1007094: Crassimarginatella solidula (Hincks, 1860)"
1007312,"Callopora discreta (Hincks, 1862)",SPECIES,ACCEPTED,Animalia,"1007312: Callopora discreta (Hincks, 1862)"
1007316,"Callopora dumerilii (Audouin, 1826)",SPECIES,ACCEPTED,Animalia,"1007316: Callopora dumerilii (Audouin, 1826)"
1007569,"Herentia hyndmanni (Johnston, 1847)",SPECIES,ACCEPTED,Animalia,"1007552: Escharina hyndmanni (Johnston, 1847)"
1007745,"Conopeum reticulum (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"1007745: Conopeum reticulum (Linnaeus, 1767)"
1008192,"Cribrilina punctata (Hassall, 1841)",SPECIES,ACCEPTED,Animalia,"1008192: Cribrilina punctata (Hassall, 1841)"
1008243,"Collarina balzaci (Audouin, 1826)",SPECIES,ACCEPTED,Animalia,"1008243: Collarina balzaci (Audouin, 1826)"
