"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"1","Aaroniella badonneli",Aaroniella badonneli,NA,Animalia,NA, 9222483
"2","Abaeis deva",Abaeis,NA,Animalia,NA, 8213918
"3","Abaeis nicippe",Abaeis nicippe,NA,Animalia,NA, 1920621
"4","Abaeis salome",Abaeis,NA,Animalia,NA, 8213918
"5","Abatia parviflora",Abatia parviflora,NA,Plantae,NA, 3878235
"6","Abax ovalis",Abax ovalis,NA,Animalia,NA, 5754770
"7","Abdera biflexuosa",Abdera biflexuosa,NA,Animalia,NA, 7984899
"8","Abdera flexuosa",Abdera flexuosa,NA,Animalia,NA, 4453551
"9","Abdera quadrifasciata",Abdera quadrifasciata,NA,Animalia,NA, 4453544
"10","Abies alba",Abies alba,NA,Plantae,NA, 2685484
"11","Abies balsamea",Abies balsamea,NA,Plantae,NA, 2685383
"12","Abies concolor",Abies concolor,NA,Plantae,NA, 2685580
"13","Abies grandis",Abies grandis,NA,Plantae,NA, 2685361
"14","Abies lasiocarpa",Abies lasiocarpa,NA,Plantae,NA, 2685313
"15","Abies magnifica",Abies magnifica,NA,Plantae,NA, 2685422
"16","Abies procera",Abies procera,NA,Plantae,NA, 2685308
"17","Abispa ephippium",Abispa ephippium,NA,Animalia,NA, 1330580
"18","Ablaxia temporalis",Ablaxia temporalis,NA,Animalia,NA, 1394900
"19","Ablerus celsus",Ablerus celsus,NA,Animalia,NA, 1364547
"20","Ablerus clisiocampae",Ablerus clisiocampae,NA,Animalia,NA, 1364517
"21","Abraxas grossulariata",Abraxas grossulariata,NA,Animalia,NA, 1967873
"22","Abronia latifolia",Abronia latifolia,NA,Plantae,NA, 5384891
"23","Abronia maritima",Abronia maritima,NA,Plantae,NA, 5384895
"24","Abronia umbellata",Abronia umbellata,NA,Plantae,NA, 5384870
"25","Abronia villosa",Abronia villosa,NA,Plantae,NA, 5384880
"26","Abrostola triplasia",Abrostola triplasia,NA,Animalia,NA, 1767597
"27","Absidia corymbifera",NA,Absidia corymbifera (Cohn) Sacc. & Trotter,NA,EXACT, 5250325
"28","Aburria jacutinga",Aburria jacutinga,NA,Animalia,NA, 2482302
"29","Abutilon grandifolium",Abutilon grandifolium,NA,Plantae,NA, 3152633
"30","Abutilon theophrasti",Abutilon theophrasti,NA,Plantae,NA, 3152614
"31","Acacia longifolia",Acacia longifolia,NA,Plantae,NA, 2978730
"32","Acacia melanoxylon",Acacia melanoxylon,NA,Plantae,NA, 2979000
"33","Acacia retinodes",Acacia retinodes,NA,Plantae,NA, 2979408
"34","Acacia saligna",Acacia saligna,NA,Plantae,NA, 2978552
"35","Acalitus brevitarsus",Acalitus brevitarsus,NA,Animalia,NA, 4544242
"36","Acalitus essigi",Acalitus essigi,NA,Animalia,NA, 2128559
"37","Acalitus phyllereus",Acalitus phyllereus,NA,Animalia,NA, 4544238
"38","Acalles misellus",Acalles misellus,NA,Animalia,NA, 1211839
"39","Acalypta carinata",Acalypta carinata,NA,Animalia,NA, 2020737
"40","Acalypta nigrina",Acalypta nigrina,NA,Animalia,NA, 4488999
"41","Acamptopappus sphaerocephalus",Acamptopappus sphaerocephalus,NA,Plantae,NA, 3113874
"42","Acanalonia conica",Acanalonia conica,NA,Animalia,NA, 2064632
"43","Acantharia sinensis",Acantharia sinensis,NA,Fungi,NA, 5262785
"44","Acanthis cabaret",NA,Acanthis cabaret (Müller & Pls, 1776),NA,EXACT, 6871058
"45","Acanthocephala femorata",Acanthocephala femorata,NA,Animalia,NA, 5156080
"46","Acanthocephala terminalis",Acanthocephala terminalis,NA,Animalia,NA, 5156079
"47","Acanthocinus aedilis",Acanthocinus aedilis,NA,Animalia,NA,10595482
"48","Acanthocinus griseus",Acanthocinus griseus,NA,Animalia,NA, 4459446
"49","Acantholybas brunneus",Acantholybas brunneus,NA,Animalia,NA, 2050058
"50","Acanthonitschkea tristis",Acanthonitschkea tristis,NA,Fungi,NA, 8693810
"51","Acanthoscelides obtectus",Acanthoscelides obtectus,NA,Animalia,NA, 1047525
"52","Acanthosoma haemorrhoidale",Acanthosoma haemorrhoidale,NA,Animalia,NA, 5866246
"53","Acanthostigma ellisii",Acanthostigma ellisii,NA,Fungi,NA, 2613819
"54","Acanthotrema tridactyla",Acanthotrema tridactyla,NA,Animalia,NA, 7519332
"55","Acanthuchus trispinifer",Acanthuchus trispinifer,NA,Animalia,NA, 2023832
"56","Acarapis woodi",Acarapis woodi,NA,Animalia,NA, 4542910
"57","Acaricomes phytoseiuli",Acaricomes phytoseiuli,NA,Bacteria,NA, 3224615
"58","Acca sellowiana",NA,Acca sellowiana (O.Berg) Burret,NA,EXACT, 5418629
"59","Accipiter brevipes",Accipiter brevipes,NA,Animalia,NA, 2480578
"60","Accipiter cooperii",Accipiter cooperii,NA,Animalia,NA, 2480621
"61","Accipiter gentilis",Accipiter gentilis,NA,Animalia,NA, 2480589
"62","Accipiter nisus",Accipiter nisus,NA,Animalia,NA, 2480637
"63","Accipiter striatus",Accipiter striatus,NA,Animalia,NA, 9740253
"64","Acer campestre",Acer campestre,NA,Plantae,NA, 3189863
"65","Acer circinatum",Acer circinatum,NA,Plantae,NA, 3189884
"66","Acer ginnala",NA,Acer ginnala Maxim.,NA,EXACT, 3189845
"67","Acer glabrum",Acer glabrum,NA,Plantae,NA, 3189864
"68","Acer macrophyllum",Acer macrophyllum,NA,Plantae,NA, 3189835
"69","Acer negundo",Acer negundo,NA,Plantae,NA, 3189866
"70","Acer palmatum",Acer palmatum,NA,Plantae,NA, 3189882
"71","Acer pensylvanicum",Acer pensylvanicum,NA,Plantae,NA, 3189836
"72","Acer platanoides",Acer platanoides,NA,Plantae,NA, 3189846
"73","Acer pseudoplatanus",Acer pseudoplatanus,NA,Plantae,NA, 3189870
"74","Acer rubrum",Acer rubrum,NA,Plantae,NA, 3189883
"75","Acer saccharinum",Acer saccharinum,NA,Plantae,NA, 3189837
"76","Acer saccharum",Acer saccharum,NA,Plantae,NA, 3189859
"77","Acer serrulatum",NA,Acer serrulatum Hayata,NA,EXACT, 3768564
"78","Aceria cephalonea",Aceria cephaloneus,NA,Animalia,NA, 4544485
"79","Aceria fraxinicola",Aceria fraxinicola,NA,Animalia,NA, 6912757
