"source_taxon_name";"interaction_type";"target_taxon_name"
"Vespa velutina";"eats";"Crataegus germanica"
"Vespa velutina";"eats";"Hedera helix"
"Vespa velutina";"eats";"Larinae"
"Vespa velutina";"eats";"Malus domestica"
"Vespa velutina";"eats";"Syzygium samarangense"
"Vespa velutina";"eats";"Scrophularia"
"Vespa velutina";"eats";"Vitis vinifera"
"Vespa velutina";"eats";"Ficus carica"
"Vespa velutina";"eats";"Vespa"
"Vespa velutina";"eats";"Conger conger"
"Vespa velutina";"eats";"Carcinops"
"Vespa velutina";"eats";"Apis mellifera"
"Vespa velutina";"eats";"Oryctolagus cuniculus"
"Vespa velutina";"eats";"Actinopterygii"
"Vespa velutina";"eats";"Pyrus communis"
"Vespa velutina";"eats";"Litchi chinensis"
"Vespa velutina";"eats";"Prunus domestica"
"Vespa velutina";"eats";"Aves"
"Vespa velutina";"eats";"Malus"
"Vespa velutina";"eats";"Musa basjoo"
"Vespa velutina";"eats";"Pyrus"
"Vespa velutina";"eats";"Fatsia japonica"
"Vespa velutina";"eats";"Cecidomyiidae"
"Vespa velutina";"eats";"Anthomyiidae"
"Vespa velutina";"eats";"Syrphidae"
"Vespa velutina";"eats";"Hypena"
"Vespa velutina";"eats";"Rheocricotopus robacki"
"Vespa velutina";"eats";"Tenthredinidae"
"Vespa velutina";"eats";"Vespidae"
"Vespa velutina";"eats";"Lygaeidae"
"Vespa velutina";"eats";"Sphaerophoria"
"Vespa velutina";"eats";"Coelioxys zapoteca"
"Vespa velutina";"eats";"Calliphoridae"
"Vespa velutina";"eats";"Helina"
"Vespa velutina";"eats";"Vespula germanica"
"Vespa velutina";"eats";"Ceratitis"
"Vespa velutina";"eats";"Lepidoptera"
"Vespa velutina";"eats";"Trombidiformes"
"Vespa velutina";"eats";"Dasytes"
"Vespa velutina";"eats";"Polistes dominula"
"Vespa velutina";"eats";"Trichoptera"
"Vespa velutina";"eats";"Lucilia"
"Vespa velutina";"eats";"Musca"
"Vespa velutina";"eats";"Sarcophaga"
"Vespa velutina";"eats";"Apallates coxendix"
"Vespa velutina";"eats";"Vespa velutina"
"Vespa velutina";"eats";"Peltigera"
"Vespa velutina";"eats";"Megachile (Hackeriapis) sp. 6 CJP-2016"
"Vespa velutina";"eats";"Scathophaga"
"Vespa velutina";"eats";"Mythimna unipuncta"
"Vespa velutina";"eats";"Delia platura"
"Vespa velutina";"eats";"Neomyia"
"Vespa velutina";"eats";"Noctuidae"
"Vespa velutina";"eats";"Chironomidae"
"Vespa velutina";"eats";"Muscina pascuorum"
"Vespa velutina";"eats";"Montisimulium"
"Vespa velutina";"eats";"Dasyhelea"
"Vespa velutina";"eats";"Hybomitra"
"Vespa velutina";"eats";"Carabidae"
"Vespa velutina";"eats";"Peleteria"
"Vespa velutina";"eats";"Eristalis"
"Vespa velutina";"eats";"Tephritidae"
"Vespa velutina";"eats";"Tachypeza"
"Vespa velutina";"eats";"Culicidae"
"Vespa velutina";"eats";"Muscidae"
"Vespa velutina";"eats";"Pimpla"
"Vespa velutina";"eats";"Rhamphomyia"
"Vespa velutina";"eats";"Bombus"
"Vespa velutina";"eats";"Muscina levida"
"Vespa velutina";"eats";"Pollenia intermedia"
"Vespa velutina";"eats";"Psocoptera"
"Vespa velutina";"eats";"Lucilia cuprina"
"Vespa velutina";"eats";"Calliphora"
"Vespa velutina";"eats";"Vespula"
"Vespa velutina";"eats";"Apidae"
"Vespa velutina";"eats";"Muscina"
"Vespa velutina";"eats";"Diptera"
"Vespa velutina";"eats";"Sarcophagidae"
"Vespa velutina";"eats";"Apis"
"Vespa velutina";"eats";"Hymenoptera"
"Vespa velutina";"eats";"Acrididae"
"Vespa velutina";"eats";"Coenosia"
"Vespa velutina";"eats";"Graphomya"
"Vespa velutina";"eats";"Calliphora vicina"
"Vespa velutina";"eats";"Polistes"
"Vespa velutina";"eats";"Triaenodes"
"Vespa velutina";"eats";"Drosophila"
"Vespa velutina";"eats";"Hylemya"
"Vespa velutina";"eats";"Chrysomya albiceps"
"Vespa velutina";"eats";"Coenosia pumila"
"Vespa velutina";"eats";"Hoplitis robusta"
"Vespa velutina";"eats";"Tachinidae"
"Vespa velutina";"eats";"Noctua"
"Vespa velutina";"eats";"Peleteria setosa"
"Vespa velutina";"eats";"Polietes lardarius"
"Vespa velutina";"eats";"Araneidae"
"Vespa velutina";"eats";"Episyrphus balteatus"
"Vespa velutina";"eats";"Sarcophaga variegata"
"Vespa velutina";"eats";"Araneus diadematus"
"Vespa velutina";"eats";"Emberiza cirlus"
"Vespa velutina";"eats";"Eristalis pertinax"
"Vespa velutina";"eats";"Fannia ornata"
"Vespa velutina";"eats";"Hydrotaea cyrtoneurina"
"Vespa velutina";"eats";"Pyrellia rapax"
"Vespa velutina";"eats";"Mydaea urbana"
"Vespa velutina";"eats";"Hydrotaea ignava"
"Vespa velutina";"eats";"Vertebrata"
"Vespa velutina";"eats";"Hemiptera"
"Vespa velutina";"eats";"Sarcophaga carnaria"
"Vespa velutina";"eats";"Vespula vulgaris"
"Vespa velutina";"eats";"Pollenia rudis"
"Vespa velutina";"eats";"Dasyphora albofasciata"
"Vespa velutina";"eats";"Ectophasia crassipennis"
"Vespa velutina";"eats";"Sarcophaga subvicina"
"Vespa velutina";"eats";"Mantis religiosa"
"Vespa velutina";"eats";"Calliphora vomitoria"
"Vespa velutina";"eats";"Tipulidae"
"Vespa velutina";"eats";"Bellardia pandia"
"Vespa velutina";"eats";"Graphomya maculata"
"Vespa velutina";"eats";"Ferdinandea cuprea"
"Vespa velutina";"eats";"Musca autumnalis"
"Vespa velutina";"eats";"Helina evecta"
"Vespa velutina";"eats";"Eristalis arbustorum"
"Vespa velutina";"eats";"Polistes associus"
"Vespa velutina";"eats";"Mallota florea"
"Vespa velutina";"eats";"Panorpa communis"
"Vespa velutina";"eats";"Coelidia olitoria"
"Vespa velutina";"eats";"Melinda cognata"
"Vespa velutina";"eats";"Orthoptera"
"Vespa velutina";"eats";"Pararge aegeria"
"Vespa velutina";"eats";"Panorpa germanica"
"Vespa velutina";"eats";"Chrysotoxum intermedium"
"Vespa velutina";"eats";"Solieria pacifica"
"Vespa velutina";"eats";"Psen ater"
"Vespa velutina";"eats";"Eristalis tenax"
"Vespa velutina";"eats";"Coleoptera"
"Vespa velutina";"eats";"Calliopum simillimum"
"Vespa velutina";"eats";"Paykullia maculata"
"Vespa velutina";"eats";"Araneae"
"Vespa velutina";"eats";"Phaonia valida"
"Vespa velutina";"eats";"Polistes nimpha"
"Vespa velutina";"eats";"Halictidae"
"Vespa velutina";"eats";"Alydus calcaratus"
"Vespa velutina";"eats";"Belonogaster"
"Vespa velutina";"eats";"Lucilia illustris"
"Vespa velutina";"eats";"Bombus lapidarius"
"Vespa velutina";"eats";"Mecoptera"
"Vespa velutina";"eats";"Polyommatus icarus"
