source, interaction, target
Vespa velutina, eats , Apis mellifera 
Vespa velutina, eats , Vespula vulgaris 
Vespa velutina, eats , Vespula germanica 
Vespa velutina, visitsFlowersOf , Hedera helix 
Vespa velutina, eats , Pollenia rudis 
Vespa velutina, eats , Eristalis pertinax 
Vespa velutina, eats , Eristalis tenax 
Vespa velutina, eats , Araneus diadematus 
Vespa velutina, eats , Sarcophaga carnaria 
Vespa velutina, eats , Chrysomya albiceps 
Vespa velutina, eats , Episyrphus balteatus 
Vespa velutina, eats , Lucilia caesar 
Vespa velutina, eats , Vitis vinifera 
Vespa velutina, eats , Calliphora vicina 
Vespa velutina, eats , Lucilia sericata 
Vespa velutina, eats , Alydus calcaratus 
Vespa velutina, eats , Scathophaga stercoraria 
Vespa velutina, eats , Ficus carica 
Vespa velutina, eats , Mallota florea 
Vespa velutina, visitsFlowersOf , Foeniculum vulgare 
Vespa velutina, visitsFlowersOf , Eriobotrya japonica 
Vespa velutina, preysOn , Apis mellifera 
Vespa velutina, eats , Mantis religiosa 
Vespa velutina, eats , Panorpa communis 
Vespa velutina, eats , Cheilosia tarditas 
Vespa velutina, eats , Mesembrina meridiana 
Vespa velutina, eats , Ectophasia crassipennis 
Vespa velutina, visitsFlowersOf , Reynoutria japonica 
Vespa velutina, eats , Sargus bipunctatus 
Vespa velutina, eats , Eristalis arbustorum 
Vespa velutina, eats , Musca autumnalis 
Vespa velutina, preysOn , Epistrophe nitidicollis 
Vespa velutina, preysOn , Eupeodes corollae 
Vespa velutina, preysOn , Episyrphus balteatus 
Vespa velutina, eats , Panorpa germanica 
Vespa velutina, eats , Dryomyza anilis 
Vespa velutina, visitsFlowersOf , Campsis radicans 
Vespa velutina, visitsFlowersOf , Euonymus japonicus 
Vespa velutina, visitsFlowersOf , Vitis vinifera 
Vespa velutina, visitsFlowersOf , Heracleum sphondylium 
Vespa velutina, preysOn , Epistrophe eligans 
Vespa velutina, preysOn , Melanostoma scalare 
Vespa velutina, preysOn , Ferdinandea cuprea 
Vespa velutina, preysOn , Mallota florea 
Vespa velutina, preysOn , Eristalis arbustorum 
Vespa velutina, preysOn , Eupeodes latifasciatus 
Vespa velutina, preysOn , Sphaerophoria scripta 
Vespa velutina, preysOn , Scaeva pyrastri 
Vespa velutina, preysOn , Syrphus ribesii 
Vespa velutina, preysOn , Meliscaeva auricollis 
Vespa velutina, preysOn , Pipizella viduata 
Vespa velutina, preysOn , Eristalis tenax 
Vespa velutina, eats , Emberiza cirlus 
Vespa velutina, eats , Polistes dominula 
