"Vespa velutina,""Arthropoda"",""Animalia"""
"Beauveria bassiana,""Ascomycota"",""Fungi"""
"Escherichia coli,""Proteobacteria"","""""
"Escherichia coli,""Proteobacteria"",""Bacteria"""
"Salmonella enterica,""Proteobacteria"","""""
"Salmonella enterica,""Proteobacteria"",""Bacteria"""
"Staphylococcus aureus,""Firmicutes"",""Bacteria"""
"Bubo virginianus,""Chordata"",""Animalia"""
"Leptinotarsa decemlineata,""Arthropoda"",""Animalia"""
"Klebsiella pneumoniae,""Proteobacteria"",""Bacteria"""
"Menacanthus stramineus,""Arthropoda"",""Animalia"""
"Varroa destructor,""Arthropoda"",""Animalia"""
"Ostrinia nubilalis,""Arthropoda"",""Animalia"""
"Buteo jamaicensis,""Chordata"",""Animalia"""
"Alphitobius diaperinus,""Arthropoda"",""Animalia"""
"Staphylococcus aureus,""Firmicutes"","""""
"Clostridioides difficile,""Firmicutes"",""Bacteria"""
"Pernis apivorus,""Chordata"",""Animalia"""
"Haliaeetus leucocephalus,""Chordata"",""Animalia"""
"Galleria mellonella,""Arthropoda"",""Animalia"""
"Cimex lectularius,""Arthropoda"",""Animalia"""
"Gallus gallus,""Chordata"",""Animalia"""
"Corvus corone,""Chordata"",""Animalia"""
"Bubo bubo,""Chordata"",""Animalia"""
"Corvus corax,""Chordata"",""Animalia"""
"Aquila chrysaetos,""Chordata"",""Animalia"""
"Cathartes aura,""Chordata"",""Animalia"""
"Martes martes,""Chordata"",""Animalia"""
"Vulpes vulpes,""Chordata"",""Animalia"""
"Chrysolina brunsvicensis,""Arthropoda"",""Animalia"""
"Allium triquetrum,""Tracheophyta"",""Plantae"""
"Ceratitis capitata,""Arthropoda"",""Animalia"""
"Apis mellifera,""Arthropoda"",""Animalia"""
"Vespa crabro,""Arthropoda"",""Animalia"""
"Aquila fasciata,""Chordata"",""Animalia"""
"Strix uralensis,""Chordata"",""Animalia"""
"Isaria farinosa,""Ascomycota"",""Fungi"""
"Pycnoscelus surinamensis,""Arthropoda"",""Animalia"""
"Bombus muscorum,""Arthropoda"",""Animalia"""
"Danaus plexippus,""Arthropoda"",""Animalia"""
"Thecaphora oxalidis,""Basidiomycota"",""Fungi"""
"Fasciola hepatica,""Platyhelminthes"",""Animalia"""
"Polistes dominula,""Arthropoda"",""Animalia"""
"Diplocarpon mespili,""Ascomycota"",""Fungi"""
"Lymantria dispar,""Arthropoda"",""Animalia"""
"Tranzschelia pruni-spinosae,""Basidiomycota"",""Fungi"""
"Bacillus cereus,""Firmicutes"",""Bacteria"""
"Mycobacterium tuberculosis,""Actinobacteria"",""Bacteria"""
"Canis lupus,""Chordata"",""Animalia"""
"Gymnosporangium fuscum,""Basidiomycota"",""Fungi"""
"Syritta pipiens,""Arthropoda"",""Animalia"""
"Colletes hederae,""Arthropoda"",""Animalia"""
"Eristalis arbustorum,""Arthropoda"",""Animalia"""
"Phragmidium violaceum,""Basidiomycota"",""Fungi"""
"Fomitopsis cajanderi,""Basidiomycota"",""Fungi"""
"Cydia pomonella,""Arthropoda"",""Animalia"""
"Fomitopsis pinicola,""Basidiomycota"",""Fungi"""
"Eristalis tenax,""Arthropoda"",""Animalia"""
"Vanessa atalanta,""Arthropoda"",""Animalia"""
"Colletotrichum trichellum,""Ascomycota"",""Fungi"""
"Misumena vatia,""Arthropoda"",""Animalia"""
"Lasioptera rubi,""Arthropoda"",""Animalia"""
"Erysiphe euonymicola,""Ascomycota"",""Fungi"""
"Ixodes ricinus,""Arthropoda"",""Animalia"""
"Phaeolus schweinitzii,""Basidiomycota"",""Fungi"""
"Erysiphe heraclei,""Ascomycota"",""Fungi"""
"Taphrina pruni,""Ascomycota"",""Fungi"""
"Vespula germanica,""Arthropoda"",""Animalia"""
"Kuehneola uredinis,""Basidiomycota"",""Fungi"""
"Myathropa florea,""Arthropoda"",""Animalia"""
"Episyrphus balteatus,""Arthropoda"",""Animalia"""
"Anthidium manicatum,""Arthropoda"",""Animalia"""
"Entomophthora muscae,""Zygomycota"",""Fungi"""
"Vespula vulgaris,""Arthropoda"",""Animalia"""
"Plasmopara nivea,""Oomycota"",""Chromista"""
"Papilio machaon,""Arthropoda"",""Animalia"""
"Volucella zonaria,""Arthropoda"",""Animalia"""
"Eristalis pertinax,""Arthropoda"",""Animalia"""
"Nectria cinnabarina,""Ascomycota"",""Fungi"""
"Stomorhina lunata,""Arthropoda"",""Animalia"""
"Bombus pratorum,""Arthropoda"",""Animalia"""
"Puccinia polygoni-amphibii,"""","""""
"Vanessa cardui,""Arthropoda"",""Animalia"""
"Gymnosporangium sabinae,""Basidiomycota"",""Fungi"""
"Hypoxylon rubiginosum,""Ascomycota"",""Fungi"""
"Operophtera brumata,""Arthropoda"",""Animalia"""
"Bombus lapidarius,""Arthropoda"",""Animalia"""
"Phragmidium bulbosum,""Basidiomycota"",""Fungi"""
"Rhizobium vitis,""Proteobacteria"",""Bacteria"""
"Sceliphron caementarium,""Arthropoda"",""Animalia"""
"Laetiporus sulphureus,""Basidiomycota"",""Fungi"""
"Camponotus piceus,""Arthropoda"",""Animalia"""
"Monilinia fructigena,""Ascomycota"",""Fungi"""
"Polyommatus icarus,""Arthropoda"",""Animalia"""
"Coccinella septempunctata,""Arthropoda"",""Animalia"""
"Musca domestica,""Arthropoda"",""Animalia"""
"Puccinia allii,""Basidiomycota"",""Fungi"""
"Convolvulus arvensis,""Tracheophyta"",""Plantae"""
"Tapesia fusca,""Ascomycota"",""Fungi"""
"Colomerus vitis,""Arthropoda"",""Animalia"""
"Agrobacterium vitis,""Proteobacteria"","""""
"Harmonia axyridis,""Arthropoda"",""Animalia"""
"Lestica clypeata,""Arthropoda"",""Animalia"""
"Puccinia porri,""Basidiomycota"",""Fungi"""
"Pieris rapae,""Arthropoda"",""Animalia"""
"Hypolimnas bolina,""Arthropoda"",""Animalia"""
"Eupeodes latifasciatus,""Arthropoda"",""Animalia"""
"Venturia inaequalis,""Ascomycota"",""Fungi"""
"Eristalinus aeneus,""Arthropoda"",""Animalia"""
"Scaeva pyrastri,""Arthropoda"",""Animalia"""
"Rosellinia aquila,""Ascomycota"",""Fungi"""
"Trametes versicolor,""Basidiomycota"",""Fungi"""
"Xenos vesparum,""Arthropoda"",""Animalia"""
"Pseudomonas syringae,""Proteobacteria"","""""
"Rubus idaeus,""Tracheophyta"",""Plantae"""
"Calliphora vicina,""Arthropoda"",""Animalia"""
"Isodontia mexicana,""Arthropoda"",""Animalia"""
"Martes martes,"""","""""
"Turdus merula,""Chordata"",""Animalia"""
"Lucilia sericata,""Arthropoda"",""Animalia"""
"Foeniculum vulgare,""Tracheophyta"",""Plantae"""
"Tapinella panuoides,""Basidiomycota"",""Fungi"""
"Synema globosum,""Arthropoda"",""Animalia"""
