occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Alytes obstetricans","Alytes obstetricans (Laurenti, 1768)","2426612","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes","Alytes obstetricans","Alytes obstetricans","(Laurenti, 1768) "
,"Salamandra salamandra","Salamandra salamandra (Linnaeus, 1758)","2431776","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra salamandra","(Linnaeus, 1758) "
,"Hyla arborea","Hyla arborea (Linnaeus, 1758)","2427573","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla arborea","Hyla arborea","(Linnaeus, 1758) "
,"Pelobates fuscus","Pelobates fuscus (Laurenti, 1768)","2430567","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","Pelobates fuscus","Pelobates fuscus","(Laurenti, 1768) "
,"Anergates atratulus","Anergates atratulus (Schenck, 1852)","1314824","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Anergates","Anergates atratulus","Anergates atratulus","(Schenck, 1852) "
,"Formica rufibarbis","Formica rufibarbis Fabricius, 1793","1315117","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica rufibarbis","Formica rufibarbis","Fabricius, 1793"
,"Formica sanguinea","Formica sanguinea Latreille, 1798","1315006","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica sanguinea","Formica sanguinea","Latreille, 1798"
,"Formica transkaucasica","Formica transkaucasica Nasonov, 1889","6096906","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica picea","Formica transkaucasica","Nasonov, 1889"
,"Formicoxenus nitidulus","Formicoxenus nitidulus (Nylander, 1846)","1317464","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicoxenus","Formicoxenus nitidulus","Formicoxenus nitidulus","(Nylander, 1846) "
,"Lasius meridionalis","Lasius meridionalis (Bondroit, 1920)","5035788","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius meridionalis","Lasius meridionalis","(Bondroit, 1920) "
