occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship
;Vespa velutina;Vespa velutina Lepeletier, 1836;1311477;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespa;Vespa velutina;Vespa velutina;Lepeletier, 1836
;Apis mellifera;Apis mellifera Linnaeus, 1758;1341976;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera;Apis mellifera;Linnaeus, 1758
;Vespula vulgaris;Vespula vulgaris (Linnaeus, 1758);1311671;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespula;Vespula vulgaris;Vespula vulgaris;(Linnaeus, 1758) 
;Vespula germanica;Vespula germanica (Fabricius, 1793);1311649;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespula;Vespula germanica;Vespula germanica;(Fabricius, 1793) 
;Hedera helix;Hedera helix L.;8351737;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hedera;Hedera helix;Hedera helix;L.
;Pollenia rudis;Pollenia rudis (Fabricius, 1794);1503644;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Polleniidae;Pollenia;Pollenia rudis;Pollenia rudis;(Fabricius, 1794) 
;Eristalis pertinax;Eristalis pertinax (Scopoli, 1763);1541116;EXACT;98;SYNONYM;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Eoseristalis;Eoseristalis pertinax;Eristalis pertinax;(Scopoli, 1763) 
;Eristalis tenax;Eristalis tenax (Linnaeus, 1758);1541217;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Eristalis;Eristalis tenax;Eristalis tenax;(Linnaeus, 1758) 
;Araneus diadematus;Araneus diadematus Clerck, 1757;2160133;EXACT;97;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Araneus;Araneus diadematus;Araneus diadematus;Clerck, 1757
;Sarcophaga carnaria;Sarcophaga carnaria (Linnaeus, 1758);4518735;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga carnaria;Sarcophaga carnaria;(Linnaeus, 1758) 
