"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"1","Actidium",NA,NA,NA,NA,NA
"2","Adelaide River virus",NA,NA,NA,NA,NA
"3","Ageratum Yellow vein China virus - OX1",NA,NA,NA,NA,NA
"4","Akabane virus",NA,NA,NA,NA,NA
"5","Alcelaphine herpesvirus 1",NA,NA,NA,NA,NA
"6","Alcelaphine herpesvirus 2",NA,NA,NA,NA,NA
"7","Alphacoronavirus L232",NA,NA,NA,NA,NA
"8","Alphacoronavirus sp.",NA,NA,NA,NA,NA
"9","Amasya cherry disease-associated virus satellite RNAs",NA,NA,NA,NA,NA
"10","Antophila sp./Solitary bee",NA,NA,NA,NA,NA
"11","Apis dicistrovirus",NA,NA,NA,NA,NA
"12","Apis mellifera filamentous virus",NA,NA,NA,NA,NA
"13","Apodemia mormo",NA,NA,NA,NA,NA
"14","Apodemia palmerii",NA,NA,NA,NA,NA
"15","Apodemia zela",NA,NA,NA,NA,NA
"16","Apodemus flavicollis cytomegalovirus 1",NA,NA,NA,NA,NA
"17","Apodemus flavicollis cytomegalovirus 2",NA,NA,NA,NA,NA
"18","Apodemus flavicollis cytomegalovirus 3",NA,NA,NA,NA,NA
"19","Apodemus flavicollis herpesvirus",NA,NA,NA,NA,NA
"20","Apodemus flavicollis rhadinovirus 1",NA,NA,NA,NA,NA
"21","Apple scar",NA,NA,NA,NA,NA
"22","ARGAS AMERICANUS  =MINIATUS",NA,NA,NA,NA,NA
"23","ASCOCOTYLE (A.) LEIGHI",NA,NA,NA,NA,NA
"24","ASCOCOTYLE (A.) TENUICOLLIS",NA,NA,NA,NA,NA
"25","Australian grapevine",NA,NA,NA,NA,NA
"26","Avian adeno-associated virus",NA,NA,NA,NA,NA
"27","Avian carcinoma virus",NA,NA,NA,NA,NA
"28","Avian endogenous retrovirus EAV-HP",NA,NA,NA,NA,NA
"29","Avian myelocytomatosis virus",NA,NA,NA,NA,NA
"30","Avian paramyxovirus 2",NA,NA,NA,NA,NA
"31","Avian paramyxovirus 3",NA,NA,NA,NA,NA
"32","Avian paramyxovirus 4",NA,NA,NA,NA,NA
"33","Avian retrovirus IC10",NA,NA,NA,NA,NA
"34","Avisivirus Pf-CHK1/AsV",NA,NA,NA,NA,NA
"35","Babesciella berbera",NA,NA,NA,NA,NA
"36","Babesia bigemina",NA,NA,NA,NA,NA
"37","Babesia bovis",NA,NA,NA,NA,NA
"38","Babesia divergens",NA,NA,NA,NA,NA
"39","Babesia gibsoni",NA,NA,NA,NA,NA
"40","Babesia major",NA,NA,NA,NA,NA
"41","Babesia microti",NA,NA,NA,NA,NA
"42","Babesia occultans",NA,NA,NA,NA,NA
"43","Babesia odocoilei",NA,NA,NA,NA,NA
"44","Babesia ovata",NA,NA,NA,NA,NA
"45","Babesia ovis",NA,NA,NA,NA,NA
"46","Babesia rodhaini",NA,NA,NA,NA,NA
"47","Beauveria bassiana RNA virus 1",NA,NA,NA,NA,NA
"48","Beauveria bassiana victorivirus NZL/1980",NA,NA,NA,NA,NA
"49","Bee Macula-like virus",NA,NA,NA,NA,NA
"50","Berlesiella",NA,NA,NA,NA,NA
"51","Berrimah virus",NA,NA,NA,NA,NA
"52","Besnoitia besnoiti",NA,NA,NA,NA,NA
"53","Besnoitia oryctofelisi",NA,NA,NA,NA,NA
