"","V1","speciesName","relation","taxonKey","GBIFspeciesName","author","taxonLevel","V8","taxonomy","GBIFtaxonomy","taxonomyTaxonlevel","V12","url"
"1",NA,"Abaeis deva","NONE","","Abaeis deva","","",NA,"","","",NA,""
"2",NA,"Abaeis salome","NONE","","Abaeis salome","","",NA,"","","",NA,""
"3",NA,"Aceria cephalonea","NONE","","Aceria cephalonea","","",NA,"","","",NA,""
"4",NA,"Aceria macrorhyncha","NONE","","Aceria macrorhyncha","","",NA,"","","",NA,""
"5",NA,"Aceria tenella","NONE","","Aceria tenella","","",NA,"","","",NA,""
"6",NA,"Acerophagus flavidulus","NONE","","Acerophagus flavidulus","","",NA,"","","",NA,""
"7",NA,"Achorion schoenleini","NONE","","Achorion schoenleini","","",NA,"","","",NA,""
"8",NA,"Achyrocline satureoides","NONE","","Achyrocline satureoides","","",NA,"","","",NA,""
"9",NA,"Achytonix epipaschia","NONE","","Achytonix epipaschia","","",NA,"","","",NA,""
"10",NA,"Acleris gossypiella","NONE","","Acleris gossypiella","","",NA,"","","",NA,""
"11",NA,"Acremonium velutinum","NONE","","Acremonium velutinum","","",NA,"","","",NA,""
"12",NA,"Acrocercops hierocosma","NONE","","Acrocercops hierocosma","","",NA,"","","",NA,""
"13",NA,"Actinonema fraxini","NONE","","Actinonema fraxini","","",NA,"","","",NA,""
"14",NA,"Acuaria kinsellai","NONE","","Acuaria kinsellai","","",NA,"","","",NA,""
"15",NA,"Acute bee paralysis virus","NONE","","Acute bee paralysis virus","","",NA,"","","",NA,""
"16",NA,"Adelaide River ephemerovirus","NONE","","Adelaide River ephemerovirus","","",NA,"","","",NA,""
"17",NA,"Adelaide River virus","NONE","","Adelaide River virus","","",NA,"","","",NA,""
"18",NA,"Adelges (gilletteella) cooleyi","NONE","","Adelges (gilletteella) cooleyi","","",NA,"","","",NA,""
"19",NA,"Adeno-associated dependoparvovirus A","NONE","","Adeno-associated dependoparvovirus A","","",NA,"","","",NA,""
"20",NA,"Adeno-associated dependoparvovirus B","NONE","","Adeno-associated dependoparvovirus B","","",NA,"","","",NA,""
"21",NA,"Aecidium fraxini","NONE","","Aecidium fraxini","","",NA,"","","",NA,""
"22",NA,"Aegyptionella pullorum","NONE","","Aegyptionella pullorum","","",NA,"","","",NA,""
"23",NA,"Aesculus × carnea","NONE","","Aesculus × carnea","","",NA,"","","",NA,""
"24",NA,"Ageratum Yellow vein China virus - OX1","NONE","","Ageratum Yellow vein China virus - OX1","","",NA,"","","",NA,""
"25",NA,"Agriostomum vrijburgi","NONE","","Agriostomum vrijburgi","","",NA,"","","",NA,""
"26",NA,"Agrobacterium pseudotsugae","NONE","","Agrobacterium pseudotsugae","","",NA,"","","",NA,""
"27",NA,"Aichivirus A","NONE","","Aichivirus A","","",NA,"","","",NA,""
"28",NA,"Aichivirus B","NONE","","Aichivirus B","","",NA,"","","",NA,""
"29",NA,"Aichivirus D","NONE","","Aichivirus D","","",NA,"","","",NA,""
"30",NA,"Aino orthobunyavirus","NONE","","Aino orthobunyavirus","","",NA,"","","",NA,""
"31",NA,"Akabane orthobunyavirus","NONE","","Akabane orthobunyavirus","","",NA,"","","",NA,""
"32",NA,"Akabane virus","NONE","","Akabane virus","","",NA,"","","",NA,""
"33",NA,"Akhmeta virus","NONE","","Akhmeta virus","","",NA,"","","",NA,""
"34",NA,"Alagoas vesiculovirus","NONE","","Alagoas vesiculovirus","","",NA,"","","",NA,""
"35",NA,"Alcelaphine gammaherpesvirus 1","NONE","","Alcelaphine gammaherpesvirus 1","","",NA,"","","",NA,""
"36",NA,"Alcelaphine gammaherpesvirus 2","NONE","","Alcelaphine gammaherpesvirus 2","","",NA,"","","",NA,""
"37",NA,"Alcelaphine herpesvirus 1","NONE","","Alcelaphine herpesvirus 1","","",NA,"","","",NA,""
"38",NA,"Alcelaphine herpesvirus 2","NONE","","Alcelaphine herpesvirus 2","","",NA,"","","",NA,""
"39",NA,"Alfalfa mosaic virus","NONE","","Alfalfa mosaic virus","","",NA,"","","",NA,""
"40",NA,"Allium sphaerocephalon","NONE","","Allium sphaerocephalon","","",NA,"","","",NA,""
"41",NA,"Allograpta aenea","NONE","","Allograpta aenea","","",NA,"","","",NA,""
"42",NA,"Allograpta argentipila","NONE","","Allograpta argentipila","","",NA,"","","",NA,""
"43",NA,"Allograpta macquarti","NONE","","Allograpta macquarti","","",NA,"","","",NA,""
"44",NA,"Almpiwar sripuvirus","NONE","","Almpiwar sripuvirus","","",NA,"","","",NA,""
"45",NA,"Alphacoronavirus L232","NONE","","Alphacoronavirus L232","","",NA,"","","",NA,""
"46",NA,"Alphacoronavirus sp.","NONE","","Alphacoronavirus sp.","","",NA,"","","",NA,""
"47",NA,"Amasya cherry disease-associated virus satellite RNAs","NONE","","Amasya cherry disease-associated virus satellite RNAs","","",NA,"","","",NA,""
"48",NA,"Amblyomma annulatus australis","NONE","","Amblyomma annulatus australis","","",NA,"","","",NA,""
"49",NA,"Amblyomma australis","NONE","","Amblyomma australis","","",NA,"","","",NA,""
"50",NA,"Amblyomma unipunctata","NONE","","Amblyomma unipunctata","","",NA,"","","",NA,""
"51",NA,"American plum line pattern virus","NONE","","American plum line pattern virus","","",NA,"","","",NA,""
"52",NA,"Amoebotaenia sphenoides","NONE","","Amoebotaenia sphenoides","","",NA,"","","",NA,""
"53",NA,"Amphistomum crumenifer","NONE","","Amphistomum crumenifer","","",NA,"","","",NA,""
"54",NA,"Amphorophora (Amphorophora) idaei","NONE","","Amphorophora (Amphorophora) idaei","","",NA,"","","",NA,""
"55",NA,"Amphorophora (Amphorophora) rubi","NONE","","Amphorophora (Amphorophora) rubi","","",NA,"","","",NA,""
"56",NA,"Amsacta lineola","NONE","","Amsacta lineola","","",NA,"","","",NA,""
"57",NA,"Amsinckia grandiflora ex","NONE","","Amsinckia grandiflora ex","","",NA,"","","",NA,""
"58",NA,"Amylocystis lapponicus","NONE","","Amylocystis lapponicus","","",NA,"","","",NA,""
"59",NA,"Andricus lignicola","NONE","","Andricus lignicola","","",NA,"","","",NA,""
"60",NA,"Angomonas deanei","NONE","","Angomonas deanei","","",NA,"","","",NA,""
"61",NA,"Anopheles (Anopheles) saeungae","NONE","","Anopheles (Anopheles) saeungae","","",NA,"","","",NA,""
"62",NA,"Anopheles (Anopheles) wejchoochotei","NONE","","Anopheles (Anopheles) wejchoochotei","","",NA,"","","",NA,""
"63",NA,"Anopheles B orthobunyavirus","NONE","","Anopheles B orthobunyavirus","","",NA,"","","",NA,""
"64",NA,"Anoplodinium denticulatum","NONE","","Anoplodinium denticulatum","","",NA,"","","",NA,""
"65",NA,"Anosia plexippus","NONE","","Anosia plexippus","","",NA,"","","",NA,""
"66",NA,"Anthostomella poetschii","NONE","","Anthostomella poetschii","","",NA,"","","",NA,""
"67",NA,"Antophila sp./Solitary bee","NONE","","Antophila sp./Solitary bee","","",NA,"","","",NA,""
"68",NA,"Aphelinus basilicus","NONE","","Aphelinus basilicus","","",NA,"","","",NA,""
"69",NA,"Aphis (Aphis) annuae","NONE","","Aphis (Aphis) annuae","","",NA,"","","",NA,""
"70",NA,"Aphis (Aphis) fabae","NONE","","Aphis (Aphis) fabae","","",NA,"","","",NA,""
"71",NA,"Aphis (Bursaphis) grossulariae","NONE","","Aphis (Bursaphis) grossulariae","","",NA,"","","",NA,""
"72",NA,"Aphodius (Ammoecius) brevis","NONE","","Aphodius (Ammoecius) brevis","","",NA,"","","",NA,""
"73",NA,"Aphodius (Aphodius) foetens","NONE","","Aphodius (Aphodius) foetens","","",NA,"","","",NA,""
"74",NA,"Aphodius (Calomosternus) granarius","NONE","","Aphodius (Calomosternus) granarius","","",NA,"","","",NA,""
"75",NA,"Aphodius (Euorodalus) coenosus","NONE","","Aphodius (Euorodalus) coenosus","","",NA,"","","",NA,""
"76",NA,"Aphodius (Melinopterus) prodromus","NONE","","Aphodius (Melinopterus) prodromus","","",NA,"","","",NA,""
"77",NA,"Aphodius (Nimbus) obliteratus","NONE","","Aphodius (Nimbus) obliteratus","","",NA,"","","",NA,""
"78",NA,"Aphodius (Otophorus) haemorrhoidalis","NONE","","Aphodius (Otophorus) haemorrhoidalis","","",NA,"","","",NA,""
"79",NA,"Aphodius (Plagiogonus) arenarius","NONE","","Aphodius (Plagiogonus) arenarius","","",NA,"","","",NA,""
"80",NA,"Aphodius (Teuchestes) fossor","NONE","","Aphodius (Teuchestes) fossor","","",NA,"","","",NA,""
"81",NA,"Aphodius (Trichonotulus) scrofa","NONE","","Aphodius (Trichonotulus) scrofa","","",NA,"","","",NA,""
"82",NA,"Apiospora carpinea","NONE","","Apiospora carpinea","","",NA,"","","",NA,""
"83",NA,"Apis cerana ","NONE","","Apis cerana ","","",NA,"","","",NA,""
"84",NA,"Apis dicistrovirus","NONE","","Apis dicistrovirus","","",NA,"","","",NA,""
"85",NA,"Apis mellifera filamentous virus","NONE","","Apis mellifera filamentous virus","","",NA,"","","",NA,""
"86",NA,"Apis mellifera ","NONE","","Apis mellifera ","","",NA,"","","",NA,""
"87",NA,"Aplosporella chlorostroma","NONE","","Aplosporella chlorostroma","","",NA,"","","",NA,""
"88",NA,"Aplosporella symphoricarpi","NONE","","Aplosporella symphoricarpi","","",NA,"","","",NA,""
"89",NA,"Apodemia mormo","NONE","","Apodemia mormo","","",NA,"","","",NA,""
"90",NA,"Apodemia palmerii","NONE","","Apodemia palmerii","","",NA,"","","",NA,""
"91",NA,"Apodemia zela","NONE","","Apodemia zela","","",NA,"","","",NA,""
"92",NA,"Apodemus flavicollis cytomegalovirus 1","NONE","","Apodemus flavicollis cytomegalovirus 1","","",NA,"","","",NA,""
"93",NA,"Apodemus flavicollis cytomegalovirus 2","NONE","","Apodemus flavicollis cytomegalovirus 2","","",NA,"","","",NA,""
