scientificName
Apis mellifera
Vespula vulgaris
Vespula germanica
Hedera helix
Pollenia rudis
Eristalis pertinax
Eristalis tenax
Araneus diadematus
Sarcophaga carnaria
Chrysomya albiceps
Episyrphus balteatus
Lucilia caesar
Vitis vinifera
Calliphora vicina
Lucilia sericata
Alydus calcaratus
Scathophaga stercoraria
Ficus carica
Mallota florea
Foeniculum vulgare
Eriobotrya japonica
Mantis religiosa
Panorpa communis
Cheilosia tarditas
Mesembrina meridiana
Ectophasia crassipennis
Reynoutria japonica
Sargus bipunctatus
Eristalis arbustorum
Musca autumnalis
Epistrophe nitidicollis
Eupeodes corollae
Panorpa germanica
Dryomyza anilis
Campsis radicans
Euonymus japonicus
Heracleum sphondylium
Epistrophe eligans
Melanostoma scalare
Ferdinandea cuprea
Eupeodes latifasciatus
Sphaerophoria scripta
Scaeva pyrastri
Syrphus ribesii
Meliscaeva auricollis
Pipizella viduata
Emberiza cirlus
Polistes dominula
Pyrus communis
Phaonia valida
Aphrophora salicina
Apodemus flavicollis
Noctua fimbriata
Stomorhina lunata
Graphomya maculata
Tipula paludosa
Phasia aurigera
Volinus sticticus
Rubus fruticosus
Pittosporum tobira
Oxalis corniculata
Caryopteris incana
Angelica sylvestris
Oenothera lindheimeri
Oenothera glazioviana
Euphorbia characias
Elaeagnus multiflora
Fatsia japonica
Aralia elata
Mentha suaveolens
Lantana camara
Fagopyrum esculentum
Allium fistulosum
Musa basjoo
Thalia dealbata
Ampelopsis heterophylla
Helophilus trivittatus
Xanthogramma pedissequum
Criorhina berberina
Syritta pipiens
Volucella bombylans
Xylota segnis
Eupeodes luniger
Xanthandrus comtus
Temnostoma vespiforme
Chrysotoxum cautum
Caliprobola speciosa
Musca domestica
Theronia atalantae
Cylindromyia bicolor
Apatura ilia
Pararge aegeria
Prunus domestica
Panorpa cognata
Cabera exanthemata
Polyommatus icarus
Phaonia pallida
Phaonia tuguriorum
Gymnosoma nudifrons
Dicranopalpus ramosus
Xiphydria longicollis
Crataegus germanica
Prunus avium
Cervus elaphus
Oryctolagus cuniculus
Agalenatea redii
Larinioides sclopetarius
Metellina mengei
Metellina segmentata
Pseudomallada prasinus
Himacerus apterus
Coenonympha pamphilus
Vanessa atalanta
Nomophila noctuella
Orgyia antiqua
Autographa gamma
Noctua pronuba
Agrotis exclamationis
Lacanobia oleracea
Pholidoptera griseoaptera
Meconema meridionale
Volucella zonaria
Volucella inanis
Scaeva selenitica
Neomyia cornicina
Stomoxys calcitrans
Onesia viarum
Cynomya mortuorum
Linnaemya vulpina
Chaetopteryx villosa
Bombus lapidarius
Vespa velutina
Pernis apivorus
Gallus gallus
Beauveria bassiana
Varroa destructor
