scientificName
Alytes obstetricans
Salamandra salamandra
Hyla arborea
Pelobates fuscus
Anergates atratulus
Formica rufibarbis
Formica sanguinea
Formica transkaucasica
Formicoxenus nitidulus
Lasius meridionalis
Lasius psammophilus
Leptothorax muscorum
Myrmecina graminicola
Myrmica lonae
Myrmica schencki
Myrmica specioides
Myrmica sulcinodis
Polyergus rufescens
Ponera coarctata
Solenopsis fugax
Strongylognathus testaceus
Tapinoma ambiguum
Tapinoma erraticum
Formica polyctena
Formica pratensis
Formica rufa
Acrocephalus arundinaceus
Botaurus stellaris
Caprimulgus europaeus
Charadrius alexandrinus
Circus aeruginosus
Circus pygargus
Coturnix coturnix
Acrocephalus schoenobaenus
Crex crex
Miliaria calandra
Emberiza citrinella
Emberiza hortulana
Galerida cristata
Gallinago gallinago
Ixobrychus minutus
Jynx torquilla
Lanius collurio
Lanius excubitor
Larus argentatus
Larus fuscus
Locustella luscinioides
Alcedo atthis
Locustella naevia
Lullula arborea
Luscinia megarhynchos
Oenanthe oenanthe
Oriolus oriolus
Panurus biarmicus
Perdix perdix
Phalacrocorax carbo
Phoenicurus phoenicurus
Podiceps nigricollis
Porzana porzana
Recurvirostra avosetta
Riparia riparia
Saxicola rubetra
Saxicola torquata
Sterna albifrons
Sterna hirundo
Sterna sandvicensis
Tetrao tetrix
Tringa totanus
Tyto alba
Bembidion elongatum
Bembidion ephippium
Bembidion litorale
Bembidion maritimum
Bembidion normannum
Bembidion pallidipenne
Blethisa multipunctata
Brachinus crepitans
Brachinus explodens
Bradycellus caucasicus
Calathus ambiguus
Calathus cinctus
Callistus lunatus
Calosoma inquisitor
Calosoma sycophanta
Carabus arvensis
Carabus cancellatus
Carabus clathratus
Carabus coriaceus
Carabus intricatus
Carabus nitens
Chlaenius nigricornis
Chlaenius nitidulus
Chlaenius tristis
Cicindela maritima
Cicindela sylvatica
Diachromus germanus
Agonum livens
Dyschirius intermedius
Dyschirius semistriatus
Elaphrus uliginosus
Harpalus autumnalis
Harpalus flavescens
Harpalus froelichi
Harpalus griseus
Harpalus modestus
Harpalus neglectus
Harpalus puncticollis
Harpalus quadripunctatus
Harpalus serripes
Harpalus smaragdinus
Harpalus vernalis
Leistus spinibarbis
Molops piceus
Agonum piceum
Olisthopus rotundatus
Agonum scitulum
Parophonus maculicornis
Perileptus areolatus
Pogonus littoralis
Agonum versutum
Stenolophus skrimshiranus
Tachys bistriatus
Tachys bisulcatus
Zabrus tenebrioides
Amara convexior
Acupalpus brunnipes
Amara eurynota
Amara kulti
Amara montivaga
Amara municipalis
Amara quenseli
Amara tricuspidata
Anisodactylus nemorivagus
Asaphidion pallipes
Bembidion decorum
Achalcus bimaculatus
Hercostomus gracilis
Hercostomus nigripennis
Hercostomus rusticus
Hydrophorus albiceps
Hydrophorus oceanus
Machaerium maritimae
Argyra grata
Muscidideicus praetextatus
Nematoproctus distendens
Poecilobothrus principalis
Rhaphium bilamellatum
Rhaphium brevicorne
Rhaphium commune
Rhaphium consobrinum
Rhaphium monotrichum
Sciapus laetus
Sciapus longulus
Sciapus maritimus
Syntormon aulicum
Syntormon filiger
Syntormon fuscipes
Tachytrechus insignis
Thinophilus flavipalpis
Thinophilus ruficornis
Chrysotus cupreus
Chrysotus laesus
Chrysotus monochaetus
Chrysotus obscuripes
Diaphorus oculatus
Dolichopus acuticornis
Dolichopus clavipes
Dolichopus latipennis
Dolichopus longitarsis
Dolichopus migrans
Dolichopus notatus
Dolichopus planitarsis
Aphrosylus ferox
Dolichopus sabinus
Dolichopus strigipes
Calopteryx virgo
Coenagrion hastulatum
Coenagrion lunulatum
Coenagrion pulchellum
Cordulegaster boltonii
Cordulia aenea
Erythromma najas
Gomphus vulgatissimus
Ischnura pumilio
Aeshna isoceles
Lestes dryas
Leucorrhinia dubia
Leucorrhinia rubicunda
Libellula fulva
Orthetrum coerulescens
Somatochlora arctica
Somatochlora flavomaculata
Somatochlora metallica
Sympecma fusca
Brachytron pratense
Chelifera precatoria
Hilara lurida
Hilara pilosa
Hilara sturmii
Hybos femoratus
Hybos grossipes
Microphor crassipes
Chersodromia cursitans
Platypalpus excisus
Chersodromia incana
Platypalpus praecinctus
Platypalpus rapidus
Platypalpus strigifrons
Bicellaria nigra
Platypalpus verralli
Crossopalpus curvipes
Rhamphomyia crassirostris
Rhamphomyia marginata
Rhamphomyia physoprocta
Syndyas nigripes
Tachydromia costalis
Tachydromia sabulosa
Trichopeza longicornis
Empis aemula
Empis borealis
Empis digramma
Empis serotina
Hilara beckeri
Hilara brevistyla
Hilara canescens
Hilara fuscipes
Hilara gallica
Hilara litorea
Lampetra planeri
Alburnoides bipunctatus
Geastrum campestre
Geastrum fimbriatum
Geastrum floriforme
Geastrum fornicatum
Geastrum rufescens
Geastrum schmidelii
Geoglossum atropurpureum
Geoglossum difforme
Geoglossum fallax
Geoglossum glutinosum
Geoglossum umbratile
Amanita porphyria
Gomphidius glutinosus
Gomphidius roseus
Gyrodon lividus
Gyromitra esculenta
Gyroporus castaneus
Gyroporus cyanescens
Helvella cupuliformis
Helvella leucomelaena
Amanita solitaria
Helvella macropus
Helvella spadicea
Hericium coralloides
Hericium erinaceus
Amanita strobiliformis
Hydnellum compactum
Hydnellum concrescens
Hydnellum ferrugineum
Hydnellum spongiosipes
Hydnum repandum
Hygrocybe calyptriformis
Hygrocybe chlorophana
Hygrocybe coccinea
Hygrocybe coccineocrenata
Hygrocybe conicoides
Hygrocybe flavipes
Hygrocybe fornicata
Hygrocybe helobia
Hygrocybe irrigata
Hygrocybe konradii
Hygrocybe laeta
Hygrocybe marchii
Amanita virosa
Hygrocybe perplexa
Hygrocybe psittacina
Hygrocybe quieta
Hygrocybe radiata
Hygrocybe reidii
Hygrocybe russocoriacea
Astraeus hygrometricus
Hygrophorus camarophyllus
Hygrophorus chrysodon
Hygrophorus eburneus
Hygrophorus lucorum
Aureoboletus gentilis
Hygrophorus unicolor
Lactarius acerrimus
Lactarius aquizonatus
Lactarius aspideus
Lactarius azonites
Lactarius bertillonii
Lactarius decipiens
Lactarius evosmus
Lactarius fulvissimus
Lactarius glaucescens
Lactarius hysginus
Boletinus cavipes
Lactarius lilacinus
Lactarius mammosus
Lactarius piperatus
Lactarius pterosporus
Boletus aereus
Lactarius quieticolor
Lactarius rubrocinctus
Lactarius ruginosus
Boletus appendiculatus
Lactarius trivialis
Lactarius utilis
Lactarius uvidus
Leccinum carpini
Leccinum crocipodium
Leccinum duriusculum
Leccinum versipelle
Boletus calopus
Lentinus conchatus
Lentinus cyathiformis
Lentinus lepideus
Lycoperdon umbrinum
Marasmiellus perforans
Boletus depilatus
Marasmiellus rosellus
Marasmius alliaceus
Marasmius collinus
Marasmius menieri
Marasmius querceus
Marasmius scorodonius
Microglossum viride
Mitrula paludosa
Morchella esculenta
Morchella semilibera
Boletus fechtneri
Otidea cochleata
Otidea leporina
Otidea onotica
Paxillus atrotomentosus
Phellodon confluens
Phellodon melaleucus
Phellodon niger
Phylloporus pelletieri
Pisolithus arhizus
Pleurotus dryinus
Poronia punctata
Boletus impolitus
Pseudocraterellus undulatus
Rhizina undulata
Russula adusta
Russula albonigra
Russula amethystina
Russula aurata
Russula azurea
Russula badia
Boletus luridus
Russula carpini
Russula cessans
Russula cuprea
Russula curtipes
Russula cutefracta
Russula decipiens
Russula decolorans
Boletus pinophilus
Russula emetica
Russula emeticicolor
Russula flavoviridis
Russula laeta
Russula laurocerasi
Russula lepidicolor
Russula lilacea
Russula luteotacta
Russula maculata
Russula melliolens
Russula minutula
Russula odorata
Russula paludosa
Boletus queletii
Russula pectinata
Russula pseudointegra
Russula pseudoromellii
Russula puellula
Russula queletii
Russula raoultii
Russula rhodella
Russula romellii
Russula roseicolor
Boletus reticulatus
Russula solaris
Russula sororia s.s.
Russula sphagnophila
Russula stenotricha
Russula subcristulata
Russula subfoetens
Russula sublevispora
Russula subterfurcata
Russula turci
Russula versatilis
Russula veternosa
Russula vinosopurpurea
Russula violacea
Boletus satanas
Sarcodon fuligineoviolaceus
Sarcodon imbricatus
Sarcodon joeides
Sarcodon lepidus
Boletus speciosus
Sarcodon scabrosus
Sarcoscypha austriaca
Sarcoscypha coccinea
Amanita franchetii
Strobilomyces strobilaceus
Suillus flavidus
Suillus granulatus
Bovista aestivalis
Suillus laricinus
Suillus placidus
Suillus variegatus
Trichoglossum hirsutum
Tricholoma acerbum
Tricholoma albobrunneum
Tricholoma album
Bovista graveolens
Tricholoma atrosquamosum
Tricholoma columbetta
Tricholoma equestre
Tricholoma imbricatum
Tricholoma inamoenum
Tricholoma lascivum
Tricholoma myomyces
Tricholoma pessundatum
Tricholoma portentosum
Tricholoma psammopus
Tricholoma saponaceum
Tricholoma sejunctum
Tricholoma vaccinum
Tricholoma virgatum
Tulostoma melanocyclum
Verpa conica
Bovista pusilla
Calvatia utriformis
Camarophyllopsis foetens
Camarophyllopsis phaeophylla
Cantharellus amethysteus
Cantharellus cibarius
Cantharellus ferruginascens
Cantharellus friesii
Cantharellus tubaeformis
Chalciporus rubinus
Chroogomphus rutilus
Amanita gemmata
